Categoria: Tutte le categorie

Mese,immigrants: (Arizona)
2004-01,31
2004-02,63
2004-03,47
2004-04,36
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,22
2004-10,30
2004-11,43
2004-12,0
2005-01,26
2005-02,27
2005-03,37
2005-04,32
2005-05,26
2005-06,0
2005-07,16
2005-08,25
2005-09,19
2005-10,29
2005-11,26
2005-12,24
2006-01,28
2006-02,22
2006-03,34
2006-04,78
2006-05,52
2006-06,27
2006-07,18
2006-08,24
2006-09,17
2006-10,46
2006-11,44
2006-12,18
2007-01,18
2007-02,36
2007-03,30
2007-04,33
2007-05,28
2007-06,26
2007-07,26
2007-08,22
2007-09,21
2007-10,36
2007-11,40
2007-12,33
2008-01,31
2008-02,40
2008-03,27
2008-04,35
2008-05,27
2008-06,17
2008-07,16
2008-08,20
2008-09,24
2008-10,35
2008-11,31
2008-12,26
2009-01,22
2009-02,32
2009-03,23
2009-04,34
2009-05,21
2009-06,14
2009-07,17
2009-08,12
2009-09,30
2009-10,25
2009-11,33
2009-12,29
2010-01,24
2010-02,29
2010-03,29
2010-04,59
2010-05,62
2010-06,36
2010-07,34
2010-08,23
2010-09,26
2010-10,27
2010-11,32
2010-12,21
2011-01,25
2011-02,27
2011-03,24
2011-04,20
2011-05,20
2011-06,15
2011-07,13
2011-08,14
2011-09,19
2011-10,20
2011-11,22
2011-12,15
2012-01,19
2012-02,22
2012-03,20
2012-04,23
2012-05,14
2012-06,21
2012-07,13
2012-08,20
2012-09,20
2012-10,19
2012-11,21
2012-12,17
2013-01,19
2013-02,27
2013-03,19
2013-04,22
2013-05,15
2013-06,14
2013-07,12
2013-08,12
2013-09,18
2013-10,24
2013-11,21
2013-12,17
2014-01,21
2014-02,21
2014-03,17
2014-04,21
2014-05,15
2014-06,22
2014-07,34
2014-08,16
2014-09,23
2014-10,22
2014-11,36
2014-12,23
2015-01,23
2015-02,25
2015-03,20
2015-04,21
2015-05,17
2015-06,13
2015-07,22
2015-08,26
2015-09,29
2015-10,25
2015-11,33
2015-12,27
2016-01,25
2016-02,30
2016-03,29
2016-04,29
2016-05,23
2016-06,19
2016-07,15
2016-08,17
2016-09,30
2016-10,28
2016-11,44
2016-12,25
2017-01,51
2017-02,100
2017-03,41
2017-04,27
2017-05,24
2017-06,16
2017-07,15
2017-08,20
2017-09,28
2017-10,22
2017-11,23
2017-12,20
2018-01,35
2018-02,35
2018-03,25
2018-04,29
2018-05,27
2018-06,49
2018-07,25
2018-08,21
2018-09,23
2018-10,48
2018-11,50
2018-12,31
2019-01,46
2019-02,33
2019-03,27
2019-04,33
2019-05,24
2019-06,33
2019-07,32
2019-08,29
2019-09,22
2019-10,23
2019-11,21
2019-12,22
2020-01,23
2020-02,25
2020-03,17
2020-04,22
2020-05,16
2020-06,17
2020-07,16
2020-08,20
2020-09,24
2020-10,21
2020-11,18
2020-12,16
2021-01,24
2021-02,24
2021-03,35
2021-04,26
2021-05,18
2021-06,15
2021-07,12
2021-08,19
2021-09,27
2021-10,25
2021-11,25
2021-12,16
2022-01,21
2022-02,21
2022-03,20
2022-04,25
2022-05,21
2022-06,17
2022-07,17
2022-08,19
2022-09,36
2022-10,25
2022-11,24
2022-12,25
2023-01,24
2023-02,26
2023-03,19
2023-04,20
2023-05,32
2023-06,18
2023-07,12
2023-08,18
2023-09,30
2023-10,26
2023-11,25
2023-12,36
2024-01,43
2024-02,44
2024-03,37
2024-04,28
2024-05,23
2024-06,27
2024-07,25
2024-08,38
2024-09,71
2024-10,50
2024-11,61
2024-12,26
2025-01,67
2025-02,72
2025-03,36
2025-04,39
2025-05,40
