Categoria: Tutte le categorie

Mese,immigrants: (Colorado)
2004-01,30
2004-02,47
2004-03,0
2004-04,30
2004-05,35
2004-06,0
2004-07,0
2004-08,0
2004-09,27
2004-10,22
2004-11,50
2004-12,18
2005-01,18
2005-02,25
2005-03,40
2005-04,35
2005-05,57
2005-06,0
2005-07,0
2005-08,15
2005-09,18
2005-10,20
2005-11,25
2005-12,23
2006-01,16
2006-02,35
2006-03,26
2006-04,67
2006-05,75
2006-06,18
2006-07,0
2006-08,19
2006-09,29
2006-10,48
2006-11,42
2006-12,29
2007-01,22
2007-02,22
2007-03,34
2007-04,39
2007-05,35
2007-06,17
2007-07,17
2007-08,18
2007-09,28
2007-10,27
2007-11,33
2007-12,30
2008-01,24
2008-02,31
2008-03,22
2008-04,31
2008-05,30
2008-06,11
2008-07,19
2008-08,12
2008-09,23
2008-10,31
2008-11,23
2008-12,23
2009-01,16
2009-02,26
2009-03,27
2009-04,33
2009-05,19
2009-06,15
2009-07,12
2009-08,15
2009-09,22
2009-10,22
2009-11,25
2009-12,19
2010-01,17
2010-02,21
2010-03,22
2010-04,35
2010-05,39
2010-06,17
2010-07,19
2010-08,19
2010-09,18
2010-10,24
2010-11,24
2010-12,20
2011-01,15
2011-02,19
2011-03,19
2011-04,25
2011-05,17
2011-06,11
2011-07,9
2011-08,14
2011-09,18
2011-10,18
2011-11,24
2011-12,13
2012-01,15
2012-02,16
2012-03,16
2012-04,22
2012-05,16
2012-06,13
2012-07,9
2012-08,12
2012-09,15
2012-10,21
2012-11,20
2012-12,12
2013-01,14
2013-02,19
2013-03,16
2013-04,23
2013-05,21
2013-06,11
2013-07,9
2013-08,8
2013-09,18
2013-10,20
2013-11,16
2013-12,14
2014-01,17
2014-02,17
2014-03,16
2014-04,17
2014-05,18
2014-06,13
2014-07,28
2014-08,15
2014-09,17
2014-10,22
2014-11,24
2014-12,16
2015-01,16
2015-02,18
2015-03,16
2015-04,16
2015-05,19
2015-06,12
2015-07,16
2015-08,18
2015-09,28
2015-10,28
2015-11,31
2015-12,24
2016-01,19
2016-02,24
2016-03,25
2016-04,23
2016-05,23
2016-06,16
2016-07,16
2016-08,12
2016-09,25
2016-10,29
2016-11,48
2016-12,24
2017-01,39
2017-02,100
2017-03,38
2017-04,28
2017-05,23
2017-06,13
2017-07,16
2017-08,14
2017-09,28
2017-10,24
2017-11,24
2017-12,21
2018-01,29
2018-02,30
2018-03,22
2018-04,24
2018-05,26
2018-06,46
2018-07,23
2018-08,17
2018-09,22
2018-10,39
2018-11,41
2018-12,31
2019-01,37
2019-02,29
2019-03,23
2019-04,28
2019-05,23
2019-06,25
2019-07,30
2019-08,22
2019-09,21
2019-10,24
2019-11,22
2019-12,22
2020-01,18
2020-02,21
2020-03,16
2020-04,22
2020-05,16
2020-06,14
2020-07,13
2020-08,14
2020-09,22
2020-10,21
2020-11,16
2020-12,12
2021-01,16
2021-02,20
2021-03,27
2021-04,19
2021-05,15
2021-06,9
2021-07,11
2021-08,15
2021-09,19
2021-10,21
2021-11,18
2021-12,12
2022-01,13
2022-02,17
2022-03,13
2022-04,23
2022-05,20
2022-06,12
2022-07,11
2022-08,14
2022-09,34
2022-10,22
2022-11,22
2022-12,26
2023-01,20
2023-02,20
2023-03,18
2023-04,17
2023-05,28
2023-06,15
2023-07,12
2023-08,13
2023-09,28
2023-10,28
2023-11,23
2023-12,31
2024-01,41
2024-02,44
2024-03,40
2024-04,26
2024-05,23
2024-06,23
2024-07,22
2024-08,33
2024-09,67
2024-10,50
2024-11,60
2024-12,29
2025-01,63
2025-02,74
2025-03,37
2025-04,45
2025-05,38
