Categoria: Tutte le categorie

Mese,immigrants: (Connecticut)
2004-01,52
2004-02,57
2004-03,59
2004-04,64
2004-05,73
2004-06,46
2004-07,0
2004-08,0
2004-09,43
2004-10,49
2004-11,76
2004-12,40
2005-01,27
2005-02,34
2005-03,55
2005-04,50
2005-05,54
2005-06,23
2005-07,0
2005-08,0
2005-09,28
2005-10,62
2005-11,65
2005-12,34
2006-01,37
2006-02,28
2006-03,66
2006-04,85
2006-05,85
2006-06,47
2006-07,22
2006-08,0
2006-09,21
2006-10,51
2006-11,40
2006-12,45
2007-01,29
2007-02,38
2007-03,39
2007-04,43
2007-05,42
2007-06,41
2007-07,22
2007-08,9
2007-09,49
2007-10,48
2007-11,61
2007-12,40
2008-01,36
2008-02,47
2008-03,38
2008-04,38
2008-05,38
2008-06,15
2008-07,14
2008-08,14
2008-09,25
2008-10,40
2008-11,43
2008-12,40
2009-01,21
2009-02,31
2009-03,47
2009-04,37
2009-05,24
2009-06,22
2009-07,15
2009-08,21
2009-09,25
2009-10,38
2009-11,40
2009-12,36
2010-01,30
2010-02,27
2010-03,36
2010-04,44
2010-05,46
2010-06,34
2010-07,18
2010-08,15
2010-09,31
2010-10,43
2010-11,36
2010-12,28
2011-01,19
2011-02,23
2011-03,31
2011-04,31
2011-05,25
2011-06,20
2011-07,14
2011-08,10
2011-09,27
2011-10,29
2011-11,30
2011-12,31
2012-01,21
2012-02,27
2012-03,30
2012-04,28
2012-05,22
2012-06,21
2012-07,14
2012-08,11
2012-09,18
2012-10,27
2012-11,26
2012-12,15
2013-01,21
2013-02,29
2013-03,24
2013-04,33
2013-05,35
2013-06,19
2013-07,13
2013-08,10
2013-09,16
2013-10,27
2013-11,29
2013-12,23
2014-01,24
2014-02,26
2014-03,27
2014-04,24
2014-05,24
2014-06,20
2014-07,30
2014-08,13
2014-09,27
2014-10,33
2014-11,46
2014-12,37
2015-01,25
2015-02,24
2015-03,25
2015-04,28
2015-05,23
2015-06,21
2015-07,23
2015-08,22
2015-09,38
2015-10,41
2015-11,45
2015-12,39
2016-01,28
2016-02,34
2016-03,36
2016-04,32
2016-05,35
2016-06,30
2016-07,16
2016-08,15
2016-09,36
2016-10,43
2016-11,66
2016-12,37
2017-01,62
2017-02,100
2017-03,59
2017-04,37
2017-05,37
2017-06,25
2017-07,18
2017-08,20
2017-09,35
2017-10,36
2017-11,36
2017-12,29
2018-01,44
2018-02,38
2018-03,31
2018-04,32
2018-05,33
2018-06,57
2018-07,30
2018-08,20
2018-09,31
2018-10,50
2018-11,47
2018-12,41
2019-01,48
2019-02,40
2019-03,37
2019-04,40
2019-05,36
2019-06,34
2019-07,33
2019-08,23
2019-09,30
2019-10,31
2019-11,29
2019-12,26
2020-01,28
2020-02,34
2020-03,25
2020-04,25
2020-05,22
2020-06,26
2020-07,18
2020-08,17
2020-09,24
2020-10,23
2020-11,21
2020-12,18
2021-01,23
2021-02,25
2021-03,34
2021-04,25
2021-05,17
2021-06,12
2021-07,14
2021-08,19
2021-09,24
2021-10,30
2021-11,26
2021-12,18
2022-01,21
2022-02,23
2022-03,25
2022-04,31
2022-05,28
2022-06,18
2022-07,16
2022-08,15
2022-09,47
2022-10,35
2022-11,29
2022-12,27
2023-01,34
2023-02,31
2023-03,26
2023-04,26
2023-05,43
2023-06,22
2023-07,17
2023-08,21
2023-09,36
2023-10,34
2023-11,29
2023-12,37
2024-01,43
2024-02,54
2024-03,47
2024-04,37
2024-05,30
2024-06,31
2024-07,29
2024-08,36
2024-09,74
2024-10,60
2024-11,76
2024-12,38
2025-01,89
2025-02,69
2025-03,47
2025-04,52
2025-05,45
