Categoria: Tutte le categorie

Mese,immigrants: (Distretto di Columbia)
2004-01,33
2004-02,29
2004-03,0
2004-04,41
2004-05,0
2004-06,27
2004-07,18
2004-08,24
2004-09,24
2004-10,20
2004-11,32
2004-12,29
2005-01,18
2005-02,25
2005-03,21
2005-04,26
2005-05,34
2005-06,28
2005-07,13
2005-08,17
2005-09,27
2005-10,22
2005-11,43
2005-12,26
2006-01,26
2006-02,29
2006-03,41
2006-04,55
2006-05,71
2006-06,37
2006-07,27
2006-08,21
2006-09,24
2006-10,29
2006-11,33
2006-12,23
2007-01,24
2007-02,29
2007-03,27
2007-04,33
2007-05,29
2007-06,25
2007-07,24
2007-08,18
2007-09,28
2007-10,37
2007-11,38
2007-12,29
2008-01,23
2008-02,31
2008-03,23
2008-04,26
2008-05,26
2008-06,17
2008-07,17
2008-08,15
2008-09,19
2008-10,21
2008-11,23
2008-12,18
2009-01,20
2009-02,24
2009-03,25
2009-04,22
2009-05,19
2009-06,17
2009-07,14
2009-08,15
2009-09,21
2009-10,23
2009-11,24
2009-12,20
2010-01,22
2010-02,15
2010-03,30
2010-04,26
2010-05,25
2010-06,23
2010-07,19
2010-08,17
2010-09,18
2010-10,22
2010-11,22
2010-12,16
2011-01,13
2011-02,18
2011-03,18
2011-04,21
2011-05,18
2011-06,17
2011-07,14
2011-08,9
2011-09,14
2011-10,17
2011-11,17
2011-12,15
2012-01,13
2012-02,13
2012-03,13
2012-04,14
2012-05,13
2012-06,15
2012-07,12
2012-08,11
2012-09,13
2012-10,14
2012-11,20
2012-12,19
2013-01,16
2013-02,24
2013-03,21
2013-04,18
2013-05,22
2013-06,18
2013-07,24
2013-08,19
2013-09,21
2013-10,26
2013-11,27
2013-12,16
2014-01,21
2014-02,18
2014-03,21
2014-04,18
2014-05,23
2014-06,28
2014-07,37
2014-08,15
2014-09,14
2014-10,17
2014-11,24
2014-12,14
2015-01,14
2015-02,16
2015-03,14
2015-04,19
2015-05,13
2015-06,13
2015-07,17
2015-08,14
2015-09,22
2015-10,18
2015-11,21
2015-12,14
2016-01,19
2016-02,23
2016-03,26
2016-04,22
2016-05,19
2016-06,19
2016-07,22
2016-08,17
2016-09,19
2016-10,24
2016-11,39
2016-12,18
2017-01,43
2017-02,100
2017-03,48
2017-04,24
2017-05,22
2017-06,14
2017-07,16
2017-08,16
2017-09,24
2017-10,23
2017-11,24
2017-12,32
2018-01,47
2018-02,46
2018-03,34
2018-04,39
2018-05,40
2018-06,70
2018-07,48
2018-08,34
2018-09,29
2018-10,49
2018-11,42
2018-12,34
2019-01,44
2019-02,40
2019-03,34
2019-04,37
2019-05,33
2019-06,43
2019-07,45
2019-08,36
2019-09,28
2019-10,32
2019-11,32
2019-12,27
2020-01,27
2020-02,32
2020-03,26
2020-04,32
2020-05,29
2020-06,26
2020-07,23
2020-08,17
2020-09,24
2020-10,24
2020-11,16
2020-12,27
2021-01,12
2021-02,28
2021-03,33
2021-04,28
2021-05,19
2021-06,20
2021-07,21
2021-08,18
2021-09,35
2021-10,30
2021-11,21
2021-12,15
2022-01,25
2022-02,24
2022-03,24
2022-04,35
2022-05,29
2022-06,22
2022-07,30
2022-08,22
2022-09,41
2022-10,24
2022-11,33
2022-12,33
2023-01,25
2023-02,25
2023-03,28
2023-04,28
2023-05,29
2023-06,29
2023-07,27
2023-08,20
2023-09,31
2023-10,31
2023-11,29
2023-12,29
2024-01,33
2024-02,43
2024-03,44
2024-04,39
2024-05,30
2024-06,36
2024-07,31
2024-08,36
2024-09,62
2024-10,55
2024-11,58
2024-12,36
2025-01,76
2025-02,75
2025-03,42
2025-04,43
2025-05,40
