Categoria: Tutte le categorie

Mese,immigrants: (Delaware)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,100
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,72
2008-03,0
2008-04,59
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,58
2008-10,51
2008-11,0
2008-12,0
2009-01,0
2009-02,56
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,51
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,26
2011-03,0
2011-04,35
2011-05,19
2011-06,0
2011-07,0
2011-08,0
2011-09,25
2011-10,26
2011-11,23
2011-12,19
2012-01,0
2012-02,30
2012-03,29
2012-04,17
2012-05,27
2012-06,18
2012-07,0
2012-08,0
2012-09,0
2012-10,27
2012-11,22
2012-12,21
2013-01,22
2013-02,0
2013-03,15
2013-04,25
2013-05,14
2013-06,0
2013-07,0
2013-08,0
2013-09,15
2013-10,16
2013-11,15
2013-12,13
2014-01,19
2014-02,22
2014-03,15
2014-04,29
2014-05,0
2014-06,16
2014-07,46
2014-08,21
2014-09,19
2014-10,33
2014-11,24
2014-12,23
2015-01,20
2015-02,25
2015-03,26
2015-04,33
2015-05,18
2015-06,19
2015-07,24
2015-08,0
2015-09,36
2015-10,36
2015-11,50
2015-12,38
2016-01,17
2016-02,36
2016-03,29
2016-04,44
2016-05,25
2016-06,25
2016-07,11
2016-08,19
2016-09,31
2016-10,34
2016-11,50
2016-12,26
2017-01,43
2017-02,97
2017-03,52
2017-04,27
2017-05,28
2017-06,18
2017-07,22
2017-08,13
2017-09,21
2017-10,26
2017-11,28
2017-12,24
2018-01,35
2018-02,21
2018-03,24
2018-04,28
2018-05,38
2018-06,68
2018-07,26
2018-08,27
2018-09,19
2018-10,49
2018-11,47
2018-12,30
2019-01,50
2019-02,32
2019-03,36
2019-04,28
2019-05,27
2019-06,29
2019-07,31
2019-08,28
2019-09,25
2019-10,40
2019-11,19
2019-12,19
2020-01,24
2020-02,23
2020-03,20
2020-04,21
2020-05,22
2020-06,17
2020-07,13
2020-08,16
2020-09,20
2020-10,34
2020-11,26
2020-12,15
2021-01,30
2021-02,19
2021-03,32
2021-04,27
2021-05,10
2021-06,12
2021-07,8
2021-08,16
2021-09,29
2021-10,29
2021-11,27
2021-12,7
2022-01,12
2022-02,24
2022-03,18
2022-04,27
2022-05,22
2022-06,17
2022-07,13
2022-08,13
2022-09,57
2022-10,33
2022-11,24
2022-12,26
2023-01,29
2023-02,25
2023-03,25
2023-04,18
2023-05,33
2023-06,19
2023-07,12
2023-08,7
2023-09,31
2023-10,34
2023-11,25
2023-12,33
2024-01,37
2024-02,44
2024-03,50
2024-04,26
2024-05,28
2024-06,24
2024-07,23
2024-08,36
2024-09,74
2024-10,71
2024-11,60
2024-12,37
2025-01,76
2025-02,77
2025-03,44
2025-04,48
2025-05,37
