Categoria: Tutte le categorie

Mese,immigrants: (Florida)
2004-01,45
2004-02,44
2004-03,48
2004-04,53
2004-05,34
2004-06,18
2004-07,24
2004-08,25
2004-09,21
2004-10,38
2004-11,44
2004-12,21
2005-01,27
2005-02,34
2005-03,29
2005-04,38
2005-05,27
2005-06,26
2005-07,20
2005-08,20
2005-09,34
2005-10,22
2005-11,38
2005-12,24
2006-01,29
2006-02,43
2006-03,45
2006-04,91
2006-05,73
2006-06,30
2006-07,25
2006-08,25
2006-09,35
2006-10,40
2006-11,40
2006-12,31
2007-01,26
2007-02,34
2007-03,37
2007-04,38
2007-05,37
2007-06,28
2007-07,24
2007-08,22
2007-09,34
2007-10,44
2007-11,47
2007-12,35
2008-01,30
2008-02,40
2008-03,35
2008-04,28
2008-05,29
2008-06,20
2008-07,20
2008-08,17
2008-09,29
2008-10,30
2008-11,30
2008-12,24
2009-01,28
2009-02,31
2009-03,34
2009-04,34
2009-05,23
2009-06,22
2009-07,21
2009-08,18
2009-09,36
2009-10,40
2009-11,36
2009-12,28
2010-01,29
2010-02,32
2010-03,36
2010-04,40
2010-05,39
2010-06,33
2010-07,33
2010-08,26
2010-09,31
2010-10,35
2010-11,35
2010-12,28
2011-01,21
2011-02,26
2011-03,24
2011-04,26
2011-05,23
2011-06,19
2011-07,16
2011-08,17
2011-09,25
2011-10,29
2011-11,26
2011-12,19
2012-01,21
2012-02,25
2012-03,22
2012-04,20
2012-05,22
2012-06,22
2012-07,18
2012-08,17
2012-09,25
2012-10,30
2012-11,26
2012-12,19
2013-01,23
2013-02,25
2013-03,22
2013-04,22
2013-05,19
2013-06,17
2013-07,14
2013-08,13
2013-09,24
2013-10,34
2013-11,25
2013-12,20
2014-01,21
2014-02,26
2014-03,19
2014-04,25
2014-05,22
2014-06,19
2014-07,32
2014-08,20
2014-09,30
2014-10,41
2014-11,44
2014-12,26
2015-01,25
2015-02,28
2015-03,24
2015-04,28
2015-05,21
2015-06,19
2015-07,25
2015-08,28
2015-09,46
2015-10,46
2015-11,44
2015-12,27
2016-01,31
2016-02,34
2016-03,41
2016-04,34
2016-05,30
2016-06,29
2016-07,24
2016-08,24
2016-09,46
2016-10,53
2016-11,71
2016-12,32
2017-01,62
2017-02,100
2017-03,55
2017-04,38
2017-05,30
2017-06,22
2017-07,21
2017-08,25
2017-09,28
2017-10,43
2017-11,33
2017-12,27
2018-01,48
2018-02,39
2018-03,32
2018-04,36
2018-05,30
2018-06,76
2018-07,39
2018-08,31
2018-09,36
2018-10,73
2018-11,63
2018-12,44
2019-01,60
2019-02,39
2019-03,36
2019-04,44
2019-05,40
2019-06,41
2019-07,44
2019-08,37
2019-09,32
2019-10,41
2019-11,28
2019-12,26
2020-01,28
2020-02,30
2020-03,22
2020-04,39
2020-05,26
2020-06,21
2020-07,24
2020-08,24
2020-09,36
2020-10,46
2020-11,36
2020-12,24
2021-01,30
2021-02,33
2021-03,44
2021-04,36
2021-05,25
2021-06,20
2021-07,21
2021-08,29
2021-09,43
2021-10,50
2021-11,42
2021-12,25
2022-01,29
2022-02,34
2022-03,30
2022-04,45
2022-05,32
2022-06,23
2022-07,24
2022-08,26
2022-09,73
2022-10,50
2022-11,33
2022-12,31
2023-01,38
2023-02,38
2023-03,33
2023-04,35
2023-05,66
2023-06,38
2023-07,26
2023-08,26
2023-09,45
2023-10,54
2023-11,36
2023-12,42
2024-01,50
2024-02,61
2024-03,62
2024-04,45
2024-05,36
2024-06,36
2024-07,40
2024-08,49
2024-09,93
2024-10,81
2024-11,81
2024-12,39
2025-01,98
2025-02,95
2025-03,59
2025-04,68
2025-05,57
