Categoria: Tutte le categorie

Mese,immigrants: (Georgia)
2004-01,49
2004-02,33
2004-03,33
2004-04,41
2004-05,25
2004-06,0
2004-07,0
2004-08,0
2004-09,31
2004-10,31
2004-11,51
2004-12,21
2005-01,34
2005-02,38
2005-03,30
2005-04,35
2005-05,26
2005-06,16
2005-07,16
2005-08,24
2005-09,32
2005-10,40
2005-11,33
2005-12,38
2006-01,35
2006-02,35
2006-03,51
2006-04,72
2006-05,60
2006-06,19
2006-07,17
2006-08,19
2006-09,31
2006-10,43
2006-11,47
2006-12,38
2007-01,33
2007-02,34
2007-03,33
2007-04,32
2007-05,32
2007-06,21
2007-07,25
2007-08,19
2007-09,29
2007-10,39
2007-11,53
2007-12,31
2008-01,32
2008-02,31
2008-03,34
2008-04,33
2008-05,24
2008-06,19
2008-07,17
2008-08,14
2008-09,28
2008-10,35
2008-11,31
2008-12,27
2009-01,25
2009-02,32
2009-03,29
2009-04,30
2009-05,21
2009-06,12
2009-07,15
2009-08,17
2009-09,33
2009-10,31
2009-11,31
2009-12,22
2010-01,23
2010-02,26
2010-03,29
2010-04,33
2010-05,32
2010-06,23
2010-07,20
2010-08,21
2010-09,26
2010-10,30
2010-11,25
2010-12,19
2011-01,15
2011-02,25
2011-03,23
2011-04,29
2011-05,22
2011-06,19
2011-07,15
2011-08,14
2011-09,22
2011-10,25
2011-11,22
2011-12,18
2012-01,19
2012-02,20
2012-03,19
2012-04,20
2012-05,16
2012-06,18
2012-07,12
2012-08,14
2012-09,16
2012-10,21
2012-11,25
2012-12,18
2013-01,19
2013-02,22
2013-03,21
2013-04,19
2013-05,16
2013-06,12
2013-07,11
2013-08,10
2013-09,16
2013-10,22
2013-11,22
2013-12,19
2014-01,17
2014-02,19
2014-03,20
2014-04,20
2014-05,16
2014-06,12
2014-07,26
2014-08,18
2014-09,23
2014-10,26
2014-11,34
2014-12,23
2015-01,20
2015-02,23
2015-03,24
2015-04,22
2015-05,14
2015-06,13
2015-07,20
2015-08,23
2015-09,31
2015-10,30
2015-11,35
2015-12,24
2016-01,28
2016-02,30
2016-03,30
2016-04,23
2016-05,19
2016-06,18
2016-07,17
2016-08,18
2016-09,28
2016-10,27
2016-11,52
2016-12,25
2017-01,51
2017-02,100
2017-03,45
2017-04,26
2017-05,23
2017-06,16
2017-07,18
2017-08,20
2017-09,29
2017-10,29
2017-11,27
2017-12,24
2018-01,39
2018-02,31
2018-03,30
2018-04,27
2018-05,27
2018-06,53
2018-07,26
2018-08,24
2018-09,29
2018-10,55
2018-11,49
2018-12,32
2019-01,47
2019-02,34
2019-03,30
2019-04,32
2019-05,23
2019-06,29
2019-07,31
2019-08,28
2019-09,30
2019-10,31
2019-11,27
2019-12,23
2020-01,22
2020-02,25
2020-03,23
2020-04,23
2020-05,16
2020-06,16
2020-07,15
2020-08,18
2020-09,31
2020-10,33
2020-11,23
2020-12,20
2021-01,25
2021-02,25
2021-03,33
2021-04,23
2021-05,17
2021-06,12
2021-07,13
2021-08,19
2021-09,31
2021-10,31
2021-11,26
2021-12,17
2022-01,24
2022-02,23
2022-03,28
2022-04,33
2022-05,23
2022-06,17
2022-07,16
2022-08,20
2022-09,44
2022-10,34
2022-11,27
2022-12,27
2023-01,26
2023-02,31
2023-03,33
2023-04,23
2023-05,36
2023-06,20
2023-07,16
2023-08,23
2023-09,39
2023-10,43
2023-11,31
2023-12,30
2024-01,44
2024-02,53
2024-03,60
2024-04,37
2024-05,27
2024-06,27
2024-07,27
2024-08,42
2024-09,84
2024-10,66
2024-11,72
2024-12,34
2025-01,87
2025-02,81
2025-03,49
2025-04,48
2025-05,40
