Categoria: Tutte le categorie

Mese,immigrants: (Hawaii)
2004-01,0
2004-02,0
2004-03,0
2004-04,100
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,71
2005-03,54
2005-04,85
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,51
2005-11,50
2005-12,67
2006-01,0
2006-02,52
2006-03,60
2006-04,55
2006-05,74
2006-06,0
2006-07,0
2006-08,43
2006-09,58
2006-10,40
2006-11,52
2006-12,0
2007-01,0
2007-02,26
2007-03,37
2007-04,29
2007-05,34
2007-06,0
2007-07,0
2007-08,43
2007-09,49
2007-10,21
2007-11,23
2007-12,20
2008-01,0
2008-02,40
2008-03,0
2008-04,30
2008-05,31
2008-06,0
2008-07,0
2008-08,45
2008-09,52
2008-10,21
2008-11,31
2008-12,31
2009-01,22
2009-02,34
2009-03,27
2009-04,37
2009-05,17
2009-06,17
2009-07,0
2009-08,39
2009-09,67
2009-10,25
2009-11,39
2009-12,35
2010-01,21
2010-02,53
2010-03,24
2010-04,29
2010-05,23
2010-06,0
2010-07,20
2010-08,41
2010-09,50
2010-10,27
2010-11,45
2010-12,32
2011-01,28
2011-02,19
2011-03,15
2011-04,21
2011-05,16
2011-06,11
2011-07,0
2011-08,23
2011-09,25
2011-10,22
2011-11,30
2011-12,20
2012-01,14
2012-02,21
2012-03,17
2012-04,19
2012-05,15
2012-06,14
2012-07,10
2012-08,28
2012-09,30
2012-10,27
2012-11,27
2012-12,13
2013-01,24
2013-02,16
2013-03,22
2013-04,20
2013-05,13
2013-06,9
2013-07,0
2013-08,10
2013-09,22
2013-10,22
2013-11,24
2013-12,12
2014-01,21
2014-02,18
2014-03,24
2014-04,13
2014-05,17
2014-06,10
2014-07,11
2014-08,16
2014-09,23
2014-10,17
2014-11,24
2014-12,23
2015-01,14
2015-02,19
2015-03,19
2015-04,13
2015-05,16
2015-06,8
2015-07,9
2015-08,27
2015-09,37
2015-10,31
2015-11,34
2015-12,26
2016-01,22
2016-02,27
2016-03,22
2016-04,22
2016-05,18
2016-06,11
2016-07,11
2016-08,18
2016-09,26
2016-10,28
2016-11,45
2016-12,26
2017-01,38
2017-02,67
2017-03,38
2017-04,21
2017-05,24
2017-06,9
2017-07,9
2017-08,18
2017-09,34
2017-10,25
2017-11,22
2017-12,18
2018-01,27
2018-02,26
2018-03,20
2018-04,20
2018-05,20
2018-06,38
2018-07,21
2018-08,17
2018-09,28
2018-10,41
2018-11,38
2018-12,26
2019-01,42
2019-02,30
2019-03,26
2019-04,28
2019-05,25
2019-06,17
2019-07,22
2019-08,28
2019-09,25
2019-10,22
2019-11,18
2019-12,14
2020-01,13
2020-02,21
2020-03,12
2020-04,20
2020-05,16
2020-06,12
2020-07,11
2020-08,17
2020-09,30
2020-10,20
2020-11,14
2020-12,11
2021-01,15
2021-02,16
2021-03,20
2021-04,13
2021-05,11
2021-06,9
2021-07,8
2021-08,19
2021-09,20
2021-10,21
2021-11,20
2021-12,9
2022-01,13
2022-02,21
2022-03,14
2022-04,19
2022-05,20
2022-06,15
2022-07,11
2022-08,26
2022-09,31
2022-10,17
2022-11,19
2022-12,18
2023-01,23
2023-02,23
2023-03,18
2023-04,18
2023-05,20
2023-06,12
2023-07,9
2023-08,18
2023-09,30
2023-10,23
2023-11,21
2023-12,23
2024-01,30
2024-02,34
2024-03,31
2024-04,26
2024-05,15
2024-06,23
2024-07,15
2024-08,33
2024-09,58
2024-10,37
2024-11,52
2024-12,25
2025-01,52
2025-02,54
2025-03,40
2025-04,37
2025-05,31
