Categoria: Tutte le categorie

Mese,immigrants: (Iowa)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,73
2004-11,0
2004-12,0
2005-01,0
2005-02,65
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,42
2005-10,51
2005-11,0
2005-12,42
2006-01,39
2006-02,47
2006-03,36
2006-04,100
2006-05,78
2006-06,46
2006-07,0
2006-08,0
2006-09,56
2006-10,47
2006-11,64
2006-12,74
2007-01,39
2007-02,24
2007-03,38
2007-04,47
2007-05,48
2007-06,23
2007-07,25
2007-08,0
2007-09,43
2007-10,60
2007-11,49
2007-12,45
2008-01,38
2008-02,27
2008-03,40
2008-04,37
2008-05,42
2008-06,0
2008-07,0
2008-08,0
2008-09,37
2008-10,56
2008-11,38
2008-12,30
2009-01,19
2009-02,34
2009-03,39
2009-04,31
2009-05,30
2009-06,0
2009-07,0
2009-08,34
2009-09,44
2009-10,71
2009-11,56
2009-12,36
2010-01,21
2010-02,42
2010-03,47
2010-04,53
2010-05,48
2010-06,0
2010-07,18
2010-08,19
2010-09,57
2010-10,43
2010-11,43
2010-12,28
2011-01,19
2011-02,20
2011-03,28
2011-04,30
2011-05,19
2011-06,16
2011-07,11
2011-08,15
2011-09,26
2011-10,34
2011-11,29
2011-12,24
2012-01,24
2012-02,29
2012-03,30
2012-04,22
2012-05,22
2012-06,11
2012-07,14
2012-08,14
2012-09,31
2012-10,29
2012-11,26
2012-12,25
2013-01,22
2013-02,28
2013-03,27
2013-04,20
2013-05,24
2013-06,12
2013-07,11
2013-08,9
2013-09,25
2013-10,27
2013-11,28
2013-12,21
2014-01,20
2014-02,27
2014-03,18
2014-04,27
2014-05,23
2014-06,13
2014-07,28
2014-08,11
2014-09,28
2014-10,38
2014-11,38
2014-12,26
2015-01,22
2015-02,31
2015-03,28
2015-04,23
2015-05,20
2015-06,13
2015-07,17
2015-08,21
2015-09,41
2015-10,41
2015-11,43
2015-12,36
2016-01,33
2016-02,39
2016-03,32
2016-04,32
2016-05,26
2016-06,15
2016-07,13
2016-08,9
2016-09,33
2016-10,41
2016-11,60
2016-12,28
2017-01,48
2017-02,100
2017-03,50
2017-04,34
2017-05,30
2017-06,13
2017-07,20
2017-08,16
2017-09,32
2017-10,37
2017-11,34
2017-12,27
2018-01,42
2018-02,41
2018-03,33
2018-04,40
2018-05,39
2018-06,62
2018-07,27
2018-08,38
2018-09,37
2018-10,57
2018-11,54
2018-12,37
2019-01,57
2019-02,42
2019-03,35
2019-04,44
2019-05,35
2019-06,31
2019-07,32
2019-08,24
2019-09,29
2019-10,40
2019-11,29
2019-12,35
2020-01,27
2020-02,30
2020-03,21
2020-04,20
2020-05,19
2020-06,12
2020-07,14
2020-08,13
2020-09,30
2020-10,26
2020-11,17
2020-12,14
2021-01,13
2021-02,25
2021-03,36
2021-04,24
2021-05,18
2021-06,15
2021-07,14
2021-08,14
2021-09,22
2021-10,31
2021-11,30
2021-12,14
2022-01,16
2022-02,23
2022-03,20
2022-04,30
2022-05,24
2022-06,13
2022-07,12
2022-08,12
2022-09,42
2022-10,39
2022-11,27
2022-12,25
2023-01,25
2023-02,28
2023-03,23
2023-04,26
2023-05,37
2023-06,15
2023-07,13
2023-08,14
2023-09,35
2023-10,42
2023-11,33
2023-12,33
2024-01,43
2024-02,52
2024-03,50
2024-04,45
2024-05,31
2024-06,24
2024-07,24
2024-08,31
2024-09,83
2024-10,66
2024-11,70
2024-12,37
2025-01,76
2025-02,72
2025-03,52
2025-04,58
2025-05,42
