Categoria: Tutte le categorie

Mese,immigrants: (Idaho)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,100
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,74
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,44
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,37
2007-05,63
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,36
2007-11,32
2007-12,28
2008-01,29
2008-02,0
2008-03,0
2008-04,29
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,27
2008-11,0
2008-12,43
2009-01,0
2009-02,26
2009-03,0
2009-04,29
2009-05,34
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,25
2009-11,0
2009-12,0
2010-01,0
2010-02,27
2010-03,30
2010-04,36
2010-05,30
2010-06,26
2010-07,36
2010-08,0
2010-09,29
2010-10,0
2010-11,17
2010-12,23
2011-01,21
2011-02,22
2011-03,24
2011-04,17
2011-05,16
2011-06,22
2011-07,12
2011-08,11
2011-09,19
2011-10,23
2011-11,27
2011-12,17
2012-01,15
2012-02,28
2012-03,22
2012-04,16
2012-05,12
2012-06,10
2012-07,17
2012-08,10
2012-09,15
2012-10,18
2012-11,23
2012-12,16
2013-01,17
2013-02,26
2013-03,31
2013-04,13
2013-05,21
2013-06,14
2013-07,0
2013-08,7
2013-09,12
2013-10,20
2013-11,25
2013-12,27
2014-01,19
2014-02,18
2014-03,16
2014-04,18
2014-05,18
2014-06,13
2014-07,23
2014-08,7
2014-09,19
2014-10,32
2014-11,35
2014-12,28
2015-01,23
2015-02,26
2015-03,22
2015-04,21
2015-05,17
2015-06,12
2015-07,19
2015-08,13
2015-09,30
2015-10,35
2015-11,37
2015-12,24
2016-01,20
2016-02,25
2016-03,25
2016-04,22
2016-05,17
2016-06,17
2016-07,12
2016-08,15
2016-09,22
2016-10,22
2016-11,45
2016-12,21
2017-01,43
2017-02,67
2017-03,37
2017-04,25
2017-05,21
2017-06,13
2017-07,15
2017-08,12
2017-09,24
2017-10,27
2017-11,23
2017-12,20
2018-01,28
2018-02,33
2018-03,21
2018-04,22
2018-05,23
2018-06,37
2018-07,19
2018-08,13
2018-09,18
2018-10,41
2018-11,36
2018-12,27
2019-01,39
2019-02,25
2019-03,19
2019-04,20
2019-05,22
2019-06,25
2019-07,27
2019-08,20
2019-09,15
2019-10,19
2019-11,18
2019-12,18
2020-01,19
2020-02,22
2020-03,16
2020-04,15
2020-05,14
2020-06,12
2020-07,9
2020-08,9
2020-09,20
2020-10,22
2020-11,13
2020-12,8
2021-01,15
2021-02,15
2021-03,27
2021-04,14
2021-05,8
2021-06,10
2021-07,10
2021-08,10
2021-09,20
2021-10,20
2021-11,19
2021-12,7
2022-01,14
2022-02,19
2022-03,12
2022-04,21
2022-05,19
2022-06,11
2022-07,12
2022-08,12
2022-09,33
2022-10,24
2022-11,17
2022-12,17
2023-01,17
2023-02,18
2023-03,16
2023-04,17
2023-05,22
2023-06,14
2023-07,13
2023-08,10
2023-09,24
2023-10,27
2023-11,17
2023-12,21
2024-01,29
2024-02,43
2024-03,36
2024-04,26
2024-05,24
2024-06,20
2024-07,22
2024-08,26
2024-09,65
2024-10,48
2024-11,46
2024-12,21
2025-01,63
2025-02,58
2025-03,35
2025-04,36
2025-05,32
