Categoria: Tutte le categorie

Mese,immigrants: (Illinois)
2004-01,67
2004-02,67
2004-03,67
2004-04,36
2004-05,30
2004-06,14
2004-07,22
2004-08,18
2004-09,42
2004-10,43
2004-11,44
2004-12,34
2005-01,46
2005-02,48
2005-03,42
2005-04,42
2005-05,34
2005-06,18
2005-07,21
2005-08,12
2005-09,36
2005-10,47
2005-11,51
2005-12,37
2006-01,37
2006-02,43
2006-03,52
2006-04,77
2006-05,93
2006-06,23
2006-07,16
2006-08,17
2006-09,34
2006-10,49
2006-11,50
2006-12,40
2007-01,30
2007-02,38
2007-03,36
2007-04,40
2007-05,46
2007-06,21
2007-07,19
2007-08,19
2007-09,23
2007-10,44
2007-11,50
2007-12,36
2008-01,32
2008-02,42
2008-03,36
2008-04,40
2008-05,35
2008-06,17
2008-07,17
2008-08,13
2008-09,27
2008-10,39
2008-11,39
2008-12,28
2009-01,26
2009-02,35
2009-03,36
2009-04,35
2009-05,30
2009-06,16
2009-07,14
2009-08,15
2009-09,32
2009-10,34
2009-11,34
2009-12,24
2010-01,25
2010-02,29
2010-03,35
2010-04,40
2010-05,39
2010-06,19
2010-07,21
2010-08,14
2010-09,25
2010-10,27
2010-11,30
2010-12,23
2011-01,20
2011-02,22
2011-03,22
2011-04,23
2011-05,19
2011-06,13
2011-07,10
2011-08,14
2011-09,20
2011-10,24
2011-11,26
2011-12,17
2012-01,20
2012-02,20
2012-03,18
2012-04,17
2012-05,18
2012-06,15
2012-07,12
2012-08,11
2012-09,18
2012-10,20
2012-11,26
2012-12,27
2013-01,34
2013-02,26
2013-03,21
2013-04,22
2013-05,21
2013-06,13
2013-07,12
2013-08,10
2013-09,18
2013-10,29
2013-11,30
2013-12,23
2014-01,19
2014-02,23
2014-03,22
2014-04,21
2014-05,19
2014-06,14
2014-07,24
2014-08,14
2014-09,21
2014-10,27
2014-11,34
2014-12,22
2015-01,22
2015-02,26
2015-03,24
2015-04,21
2015-05,21
2015-06,15
2015-07,18
2015-08,17
2015-09,30
2015-10,27
2015-11,38
2015-12,27
2016-01,32
2016-02,34
2016-03,32
2016-04,28
2016-05,23
2016-06,18
2016-07,17
2016-08,16
2016-09,29
2016-10,36
2016-11,62
2016-12,29
2017-01,57
2017-02,100
2017-03,49
2017-04,32
2017-05,29
2017-06,18
2017-07,17
2017-08,17
2017-09,32
2017-10,31
2017-11,32
2017-12,29
2018-01,40
2018-02,40
2018-03,30
2018-04,30
2018-05,32
2018-06,56
2018-07,27
2018-08,21
2018-09,27
2018-10,51
2018-11,49
2018-12,39
2019-01,51
2019-02,38
2019-03,33
2019-04,32
2019-05,29
2019-06,31
2019-07,34
2019-08,25
2019-09,27
2019-10,34
2019-11,29
2019-12,25
2020-01,26
2020-02,28
2020-03,24
2020-04,30
2020-05,21
2020-06,19
2020-07,17
2020-08,18
2020-09,26
2020-10,24
2020-11,21
2020-12,19
2021-01,21
2021-02,24
2021-03,29
2021-04,21
2021-05,16
2021-06,11
2021-07,12
2021-08,16
2021-09,24
2021-10,24
2021-11,22
2021-12,16
2022-01,19
2022-02,22
2022-03,18
2022-04,31
2022-05,24
2022-06,15
2022-07,15
2022-08,16
2022-09,51
2022-10,32
2022-11,26
2022-12,28
2023-01,29
2023-02,29
2023-03,26
2023-04,25
2023-05,44
2023-06,24
2023-07,21
2023-08,23
2023-09,42
2023-10,53
2023-11,39
2023-12,49
2024-01,51
2024-02,53
2024-03,50
2024-04,35
2024-05,30
2024-06,28
2024-07,30
2024-08,37
2024-09,83
2024-10,59
2024-11,72
2024-12,38
2025-01,92
2025-02,90
2025-03,47
2025-04,48
2025-05,46
