Categoria: Tutte le categorie

Mese,immigrants: (Indiana)
2004-01,0
2004-02,48
2004-03,83
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,59
2004-10,38
2004-11,78
2004-12,50
2005-01,0
2005-02,44
2005-03,24
2005-04,0
2005-05,32
2005-06,0
2005-07,0
2005-08,0
2005-09,31
2005-10,43
2005-11,46
2005-12,38
2006-01,36
2006-02,38
2006-03,44
2006-04,96
2006-05,80
2006-06,22
2006-07,26
2006-08,25
2006-09,24
2006-10,67
2006-11,39
2006-12,18
2007-01,21
2007-02,36
2007-03,28
2007-04,42
2007-05,32
2007-06,27
2007-07,21
2007-08,11
2007-09,49
2007-10,46
2007-11,42
2007-12,26
2008-01,27
2008-02,34
2008-03,29
2008-04,37
2008-05,16
2008-06,15
2008-07,15
2008-08,13
2008-09,33
2008-10,39
2008-11,36
2008-12,28
2009-01,22
2009-02,38
2009-03,36
2009-04,27
2009-05,22
2009-06,10
2009-07,17
2009-08,21
2009-09,38
2009-10,35
2009-11,39
2009-12,22
2010-01,23
2010-02,27
2010-03,35
2010-04,31
2010-05,37
2010-06,18
2010-07,16
2010-08,14
2010-09,35
2010-10,36
2010-11,37
2010-12,22
2011-01,19
2011-02,25
2011-03,26
2011-04,20
2011-05,22
2011-06,14
2011-07,9
2011-08,11
2011-09,26
2011-10,29
2011-11,28
2011-12,18
2012-01,15
2012-02,19
2012-03,20
2012-04,20
2012-05,17
2012-06,18
2012-07,12
2012-08,13
2012-09,23
2012-10,23
2012-11,26
2012-12,20
2013-01,21
2013-02,21
2013-03,21
2013-04,20
2013-05,19
2013-06,10
2013-07,9
2013-08,11
2013-09,24
2013-10,27
2013-11,21
2013-12,18
2014-01,14
2014-02,22
2014-03,19
2014-04,23
2014-05,19
2014-06,12
2014-07,25
2014-08,18
2014-09,32
2014-10,35
2014-11,37
2014-12,24
2015-01,20
2015-02,27
2015-03,21
2015-04,22
2015-05,22
2015-06,13
2015-07,14
2015-08,20
2015-09,43
2015-10,39
2015-11,46
2015-12,29
2016-01,24
2016-02,31
2016-03,30
2016-04,31
2016-05,24
2016-06,18
2016-07,17
2016-08,18
2016-09,35
2016-10,36
2016-11,53
2016-12,30
2017-01,51
2017-02,90
2017-03,36
2017-04,29
2017-05,24
2017-06,12
2017-07,13
2017-08,17
2017-09,35
2017-10,29
2017-11,33
2017-12,22
2018-01,31
2018-02,32
2018-03,25
2018-04,29
2018-05,26
2018-06,56
2018-07,27
2018-08,25
2018-09,28
2018-10,44
2018-11,47
2018-12,35
2019-01,49
2019-02,34
2019-03,30
2019-04,37
2019-05,23
2019-06,25
2019-07,30
2019-08,26
2019-09,26
2019-10,27
2019-11,24
2019-12,24
2020-01,21
2020-02,24
2020-03,20
2020-04,22
2020-05,14
2020-06,14
2020-07,12
2020-08,16
2020-09,28
2020-10,24
2020-11,18
2020-12,13
2021-01,19
2021-02,22
2021-03,32
2021-04,22
2021-05,13
2021-06,11
2021-07,11
2021-08,16
2021-09,24
2021-10,24
2021-11,23
2021-12,12
2022-01,16
2022-02,18
2022-03,18
2022-04,27
2022-05,18
2022-06,13
2022-07,12
2022-08,17
2022-09,42
2022-10,27
2022-11,26
2022-12,26
2023-01,22
2023-02,26
2023-03,23
2023-04,20
2023-05,29
2023-06,18
2023-07,13
2023-08,19
2023-09,39
2023-10,34
2023-11,28
2023-12,33
2024-01,38
2024-02,44
2024-03,42
2024-04,32
2024-05,23
2024-06,22
2024-07,25
2024-08,36
2024-09,100
2024-10,77
2024-11,70
2024-12,33
2025-01,78
2025-02,83
2025-03,44
2025-04,48
2025-05,38
