Categoria: Tutte le categorie

Mese,immigrants: (Kansas)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,60
2004-10,0
2004-11,67
2004-12,0
2005-01,0
2005-02,58
2005-03,71
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,52
2005-10,42
2005-11,44
2005-12,39
2006-01,47
2006-02,37
2006-03,33
2006-04,90
2006-05,70
2006-06,40
2006-07,35
2006-08,0
2006-09,0
2006-10,51
2006-11,69
2006-12,34
2007-01,22
2007-02,26
2007-03,27
2007-04,58
2007-05,56
2007-06,22
2007-07,0
2007-08,17
2007-09,37
2007-10,36
2007-11,31
2007-12,35
2008-01,31
2008-02,33
2008-03,33
2008-04,50
2008-05,29
2008-06,0
2008-07,19
2008-08,31
2008-09,28
2008-10,36
2008-11,29
2008-12,23
2009-01,30
2009-02,31
2009-03,36
2009-04,30
2009-05,0
2009-06,22
2009-07,0
2009-08,14
2009-09,36
2009-10,44
2009-11,40
2009-12,37
2010-01,18
2010-02,28
2010-03,24
2010-04,38
2010-05,47
2010-06,17
2010-07,28
2010-08,17
2010-09,27
2010-10,30
2010-11,29
2010-12,30
2011-01,25
2011-02,30
2011-03,26
2011-04,30
2011-05,16
2011-06,13
2011-07,13
2011-08,15
2011-09,17
2011-10,28
2011-11,33
2011-12,21
2012-01,17
2012-02,25
2012-03,22
2012-04,22
2012-05,23
2012-06,17
2012-07,16
2012-08,19
2012-09,27
2012-10,26
2012-11,31
2012-12,17
2013-01,19
2013-02,23
2013-03,24
2013-04,25
2013-05,20
2013-06,17
2013-07,9
2013-08,9
2013-09,20
2013-10,25
2013-11,23
2013-12,18
2014-01,17
2014-02,20
2014-03,21
2014-04,22
2014-05,19
2014-06,16
2014-07,23
2014-08,15
2014-09,25
2014-10,30
2014-11,30
2014-12,28
2015-01,25
2015-02,27
2015-03,29
2015-04,28
2015-05,18
2015-06,13
2015-07,21
2015-08,27
2015-09,49
2015-10,30
2015-11,30
2015-12,12
2016-01,29
2016-02,35
2016-03,29
2016-04,31
2016-05,24
2016-06,17
2016-07,21
2016-08,17
2016-09,40
2016-10,34
2016-11,57
2016-12,27
2017-01,50
2017-02,100
2017-03,56
2017-04,34
2017-05,27
2017-06,12
2017-07,17
2017-08,14
2017-09,35
2017-10,26
2017-11,26
2017-12,26
2018-01,41
2018-02,37
2018-03,31
2018-04,34
2018-05,36
2018-06,62
2018-07,37
2018-08,34
2018-09,43
2018-10,67
2018-11,60
2018-12,44
2019-01,57
2019-02,44
2019-03,33
2019-04,46
2019-05,34
2019-06,29
2019-07,39
2019-08,30
2019-09,39
2019-10,34
2019-11,28
2019-12,32
2020-01,25
2020-02,39
2020-03,23
2020-04,32
2020-05,23
2020-06,18
2020-07,18
2020-08,18
2020-09,36
2020-10,32
2020-11,23
2020-12,16
2021-01,18
2021-02,22
2021-03,34
2021-04,32
2021-05,20
2021-06,10
2021-07,18
2021-08,22
2021-09,27
2021-10,29
2021-11,30
2021-12,15
2022-01,15
2022-02,23
2022-03,19
2022-04,38
2022-05,28
2022-06,15
2022-07,17
2022-08,20
2022-09,54
2022-10,32
2022-11,25
2022-12,28
2023-01,24
2023-02,22
2023-03,22
2023-04,28
2023-05,36
2023-06,17
2023-07,14
2023-08,14
2023-09,45
2023-10,38
2023-11,31
2023-12,32
2024-01,41
2024-02,49
2024-03,46
2024-04,37
2024-05,32
2024-06,23
2024-07,33
2024-08,42
2024-09,97
2024-10,66
2024-11,66
2024-12,34
2025-01,88
2025-02,83
2025-03,52
2025-04,56
2025-05,51
