Categoria: Tutte le categorie

Mese,immigrants: (Kentucky)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,68
2005-11,54
2005-12,0
2006-01,0
2006-02,55
2006-03,51
2006-04,82
2006-05,62
2006-06,0
2006-07,22
2006-08,0
2006-09,63
2006-10,48
2006-11,36
2006-12,22
2007-01,28
2007-02,32
2007-03,33
2007-04,32
2007-05,28
2007-06,28
2007-07,14
2007-08,0
2007-09,39
2007-10,46
2007-11,62
2007-12,30
2008-01,27
2008-02,33
2008-03,34
2008-04,29
2008-05,19
2008-06,0
2008-07,16
2008-08,23
2008-09,36
2008-10,40
2008-11,34
2008-12,29
2009-01,23
2009-02,30
2009-03,27
2009-04,30
2009-05,13
2009-06,0
2009-07,0
2009-08,18
2009-09,32
2009-10,33
2009-11,32
2009-12,23
2010-01,15
2010-02,17
2010-03,27
2010-04,32
2010-05,36
2010-06,15
2010-07,17
2010-08,17
2010-09,33
2010-10,30
2010-11,21
2010-12,23
2011-01,14
2011-02,22
2011-03,29
2011-04,24
2011-05,13
2011-06,5
2011-07,14
2011-08,7
2011-09,28
2011-10,32
2011-11,25
2011-12,17
2012-01,14
2012-02,23
2012-03,20
2012-04,22
2012-05,14
2012-06,11
2012-07,9
2012-08,16
2012-09,20
2012-10,21
2012-11,20
2012-12,15
2013-01,13
2013-02,22
2013-03,21
2013-04,21
2013-05,14
2013-06,9
2013-07,5
2013-08,11
2013-09,19
2013-10,24
2013-11,21
2013-12,15
2014-01,12
2014-02,17
2014-03,20
2014-04,18
2014-05,11
2014-06,14
2014-07,28
2014-08,16
2014-09,20
2014-10,20
2014-11,28
2014-12,17
2015-01,13
2015-02,16
2015-03,19
2015-04,20
2015-05,12
2015-06,11
2015-07,15
2015-08,21
2015-09,36
2015-10,34
2015-11,40
2015-12,25
2016-01,21
2016-02,27
2016-03,31
2016-04,27
2016-05,21
2016-06,17
2016-07,13
2016-08,17
2016-09,26
2016-10,29
2016-11,51
2016-12,19
2017-01,50
2017-02,77
2017-03,41
2017-04,29
2017-05,19
2017-06,10
2017-07,10
2017-08,14
2017-09,29
2017-10,26
2017-11,25
2017-12,19
2018-01,35
2018-02,36
2018-03,24
2018-04,26
2018-05,24
2018-06,56
2018-07,25
2018-08,20
2018-09,27
2018-10,47
2018-11,45
2018-12,31
2019-01,58
2019-02,29
2019-03,25
2019-04,33
2019-05,25
2019-06,24
2019-07,35
2019-08,30
2019-09,26
2019-10,23
2019-11,21
2019-12,22
2020-01,19
2020-02,24
2020-03,21
2020-04,27
2020-05,13
2020-06,10
2020-07,13
2020-08,12
2020-09,33
2020-10,28
2020-11,21
2020-12,17
2021-01,19
2021-02,21
2021-03,30
2021-04,20
2021-05,14
2021-06,9
2021-07,11
2021-08,15
2021-09,30
2021-10,25
2021-11,26
2021-12,14
2022-01,16
2022-02,23
2022-03,20
2022-04,26
2022-05,17
2022-06,14
2022-07,11
2022-08,18
2022-09,44
2022-10,24
2022-11,20
2022-12,20
2023-01,23
2023-02,27
2023-03,24
2023-04,21
2023-05,26
2023-06,14
2023-07,12
2023-08,19
2023-09,41
2023-10,34
2023-11,28
2023-12,28
2024-01,36
2024-02,42
2024-03,43
2024-04,30
2024-05,24
2024-06,22
2024-07,26
2024-08,39
2024-09,100
2024-10,65
2024-11,62
2024-12,27
2025-01,75
2025-02,68
2025-03,43
2025-04,42
2025-05,40
