Categoria: Tutte le categorie

Mese,immigrants: (Louisiana)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,74
2006-05,36
2006-06,0
2006-07,0
2006-08,31
2006-09,38
2006-10,29
2006-11,33
2006-12,41
2007-01,0
2007-02,35
2007-03,31
2007-04,29
2007-05,28
2007-06,0
2007-07,0
2007-08,21
2007-09,23
2007-10,52
2007-11,39
2007-12,25
2008-01,0
2008-02,34
2008-03,42
2008-04,47
2008-05,20
2008-06,0
2008-07,0
2008-08,0
2008-09,22
2008-10,30
2008-11,37
2008-12,18
2009-01,0
2009-02,33
2009-03,32
2009-04,30
2009-05,16
2009-06,23
2009-07,14
2009-08,13
2009-09,43
2009-10,25
2009-11,24
2009-12,20
2010-01,22
2010-02,18
2010-03,23
2010-04,40
2010-05,29
2010-06,17
2010-07,24
2010-08,20
2010-09,23
2010-10,27
2010-11,41
2010-12,21
2011-01,24
2011-02,24
2011-03,26
2011-04,21
2011-05,23
2011-06,13
2011-07,12
2011-08,18
2011-09,35
2011-10,31
2011-11,24
2011-12,17
2012-01,17
2012-02,16
2012-03,20
2012-04,19
2012-05,17
2012-06,15
2012-07,12
2012-08,13
2012-09,23
2012-10,23
2012-11,22
2012-12,12
2013-01,15
2013-02,19
2013-03,19
2013-04,22
2013-05,11
2013-06,12
2013-07,8
2013-08,15
2013-09,29
2013-10,25
2013-11,16
2013-12,24
2014-01,20
2014-02,23
2014-03,20
2014-04,19
2014-05,16
2014-06,16
2014-07,26
2014-08,22
2014-09,40
2014-10,33
2014-11,33
2014-12,22
2015-01,27
2015-02,23
2015-03,19
2015-04,24
2015-05,12
2015-06,16
2015-07,21
2015-08,34
2015-09,50
2015-10,43
2015-11,34
2015-12,31
2016-01,27
2016-02,33
2016-03,30
2016-04,36
2016-05,21
2016-06,23
2016-07,15
2016-08,23
2016-09,38
2016-10,37
2016-11,57
2016-12,28
2017-01,49
2017-02,91
2017-03,49
2017-04,31
2017-05,22
2017-06,13
2017-07,14
2017-08,24
2017-09,40
2017-10,31
2017-11,26
2017-12,23
2018-01,40
2018-02,38
2018-03,31
2018-04,29
2018-05,24
2018-06,56
2018-07,27
2018-08,28
2018-09,33
2018-10,53
2018-11,43
2018-12,41
2019-01,56
2019-02,38
2019-03,28
2019-04,34
2019-05,26
2019-06,30
2019-07,30
2019-08,33
2019-09,34
2019-10,31
2019-11,28
2019-12,17
2020-01,24
2020-02,28
2020-03,22
2020-04,24
2020-05,16
2020-06,16
2020-07,15
2020-08,21
2020-09,50
2020-10,35
2020-11,28
2020-12,20
2021-01,34
2021-02,33
2021-03,39
2021-04,32
2021-05,18
2021-06,11
2021-07,23
2021-08,28
2021-09,36
2021-10,35
2021-11,33
2021-12,15
2022-01,24
2022-02,29
2022-03,31
2022-04,39
2022-05,29
2022-06,15
2022-07,15
2022-08,32
2022-09,60
2022-10,31
2022-11,30
2022-12,30
2023-01,35
2023-02,37
2023-03,38
2023-04,31
2023-05,32
2023-06,17
2023-07,12
2023-08,34
2023-09,68
2023-10,54
2023-11,44
2023-12,40
2024-01,50
2024-02,63
2024-03,57
2024-04,47
2024-05,27
2024-06,24
2024-07,29
2024-08,50
2024-09,100
2024-10,68
2024-11,72
2024-12,44
2025-01,90
2025-02,87
2025-03,57
2025-04,66
2025-05,48
