Categoria: Tutte le categorie

Mese,immigrants: (Massachusetts)
2004-01,57
2004-02,38
2004-03,34
2004-04,39
2004-05,38
2004-06,26
2004-07,25
2004-08,18
2004-09,34
2004-10,42
2004-11,39
2004-12,48
2005-01,35
2005-02,38
2005-03,40
2005-04,47
2005-05,36
2005-06,16
2005-07,18
2005-08,19
2005-09,36
2005-10,51
2005-11,42
2005-12,45
2006-01,31
2006-02,35
2006-03,45
2006-04,71
2006-05,82
2006-06,37
2006-07,20
2006-08,13
2006-09,36
2006-10,45
2006-11,49
2006-12,39
2007-01,28
2007-02,31
2007-03,41
2007-04,40
2007-05,39
2007-06,26
2007-07,19
2007-08,23
2007-09,28
2007-10,43
2007-11,41
2007-12,37
2008-01,29
2008-02,32
2008-03,30
2008-04,39
2008-05,32
2008-06,21
2008-07,18
2008-08,14
2008-09,29
2008-10,32
2008-11,32
2008-12,25
2009-01,23
2009-02,29
2009-03,33
2009-04,37
2009-05,29
2009-06,20
2009-07,21
2009-08,18
2009-09,28
2009-10,31
2009-11,38
2009-12,25
2010-01,25
2010-02,24
2010-03,31
2010-04,35
2010-05,40
2010-06,22
2010-07,21
2010-08,14
2010-09,21
2010-10,27
2010-11,30
2010-12,25
2011-01,18
2011-02,22
2011-03,25
2011-04,21
2011-05,23
2011-06,16
2011-07,13
2011-08,14
2011-09,22
2011-10,29
2011-11,27
2011-12,22
2012-01,19
2012-02,21
2012-03,21
2012-04,26
2012-05,19
2012-06,19
2012-07,14
2012-08,13
2012-09,17
2012-10,24
2012-11,29
2012-12,20
2013-01,20
2013-02,18
2013-03,21
2013-04,25
2013-05,23
2013-06,16
2013-07,12
2013-08,11
2013-09,18
2013-10,27
2013-11,23
2013-12,19
2014-01,19
2014-02,24
2014-03,27
2014-04,26
2014-05,22
2014-06,23
2014-07,36
2014-08,15
2014-09,25
2014-10,27
2014-11,39
2014-12,23
2015-01,18
2015-02,23
2015-03,26
2015-04,26
2015-05,24
2015-06,20
2015-07,22
2015-08,21
2015-09,35
2015-10,33
2015-11,40
2015-12,30
2016-01,25
2016-02,32
2016-03,36
2016-04,31
2016-05,29
2016-06,26
2016-07,23
2016-08,17
2016-09,31
2016-10,36
2016-11,67
2016-12,32
2017-01,66
2017-02,100
2017-03,52
2017-04,36
2017-05,34
2017-06,26
2017-07,21
2017-08,20
2017-09,33
2017-10,32
2017-11,32
2017-12,31
2018-01,43
2018-02,36
2018-03,32
2018-04,34
2018-05,35
2018-06,63
2018-07,32
2018-08,23
2018-09,27
2018-10,44
2018-11,48
2018-12,39
2019-01,54
2019-02,37
2019-03,34
2019-04,37
2019-05,30
2019-06,36
2019-07,33
2019-08,28
2019-09,33
2019-10,32
2019-11,31
2019-12,29
2020-01,29
2020-02,42
2020-03,26
2020-04,28
2020-05,25
2020-06,23
2020-07,23
2020-08,20
2020-09,24
2020-10,28
2020-11,22
2020-12,19
2021-01,24
2021-02,26
2021-03,34
2021-04,26
2021-05,21
2021-06,17
2021-07,17
2021-08,19
2021-09,28
2021-10,32
2021-11,28
2021-12,18
2022-01,20
2022-02,31
2022-03,26
2022-04,33
2022-05,38
2022-06,29
2022-07,21
2022-08,24
2022-09,66
2022-10,42
2022-11,40
2022-12,29
2023-01,25
2023-02,30
2023-03,30
2023-04,29
2023-05,43
2023-06,30
2023-07,28
2023-08,32
2023-09,50
2023-10,47
2023-11,37
2023-12,34
2024-01,53
2024-02,62
2024-03,57
2024-04,40
2024-05,38
2024-06,33
2024-07,33
2024-08,41
2024-09,85
2024-10,63
2024-11,88
2024-12,38
2025-01,96
2025-02,76
2025-03,60
2025-04,56
2025-05,58
