Categoria: Tutte le categorie

Mese,immigrants: (Maine)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,93
2004-11,0
2004-12,100
2005-01,0
2005-02,73
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,76
2005-12,53
2006-01,0
2006-02,0
2006-03,70
2006-04,49
2006-05,77
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,46
2006-12,58
2007-01,39
2007-02,41
2007-03,44
2007-04,45
2007-05,55
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,37
2007-11,63
2007-12,27
2008-01,44
2008-02,27
2008-03,26
2008-04,27
2008-05,38
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,35
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,35
2009-06,0
2009-07,0
2009-08,22
2009-09,36
2009-10,36
2009-11,25
2009-12,32
2010-01,0
2010-02,23
2010-03,34
2010-04,35
2010-05,46
2010-06,0
2010-07,24
2010-08,0
2010-09,0
2010-10,31
2010-11,26
2010-12,30
2011-01,21
2011-02,23
2011-03,34
2011-04,24
2011-05,27
2011-06,0
2011-07,0
2011-08,0
2011-09,18
2011-10,20
2011-11,19
2011-12,12
2012-01,15
2012-02,18
2012-03,23
2012-04,17
2012-05,21
2012-06,17
2012-07,0
2012-08,0
2012-09,25
2012-10,14
2012-11,24
2012-12,16
2013-01,29
2013-02,23
2013-03,32
2013-04,23
2013-05,18
2013-06,11
2013-07,11
2013-08,0
2013-09,16
2013-10,21
2013-11,24
2013-12,17
2014-01,26
2014-02,21
2014-03,27
2014-04,23
2014-05,26
2014-06,21
2014-07,25
2014-08,9
2014-09,15
2014-10,36
2014-11,38
2014-12,20
2015-01,24
2015-02,24
2015-03,32
2015-04,26
2015-05,31
2015-06,29
2015-07,15
2015-08,17
2015-09,29
2015-10,28
2015-11,42
2015-12,39
2016-01,34
2016-02,33
2016-03,41
2016-04,37
2016-05,44
2016-06,28
2016-07,13
2016-08,18
2016-09,32
2016-10,41
2016-11,70
2016-12,31
2017-01,70
2017-02,81
2017-03,65
2017-04,33
2017-05,40
2017-06,21
2017-07,13
2017-08,22
2017-09,25
2017-10,26
2017-11,28
2017-12,24
2018-01,46
2018-02,44
2018-03,38
2018-04,39
2018-05,43
2018-06,69
2018-07,30
2018-08,23
2018-09,19
2018-10,43
2018-11,50
2018-12,49
2019-01,66
2019-02,42
2019-03,45
2019-04,40
2019-05,41
2019-06,56
2019-07,39
2019-08,28
2019-09,37
2019-10,28
2019-11,25
2019-12,22
2020-01,34
2020-02,31
2020-03,26
2020-04,27
2020-05,18
2020-06,20
2020-07,17
2020-08,16
2020-09,21
2020-10,22
2020-11,13
2020-12,13
2021-01,20
2021-02,26
2021-03,32
2021-04,29
2021-05,15
2021-06,13
2021-07,12
2021-08,15
2021-09,24
2021-10,23
2021-11,24
2021-12,14
2022-01,18
2022-02,18
2022-03,21
2022-04,31
2022-05,21
2022-06,16
2022-07,13
2022-08,12
2022-09,40
2022-10,24
2022-11,26
2022-12,21
2023-01,22
2023-02,23
2023-03,30
2023-04,29
2023-05,36
2023-06,23
2023-07,16
2023-08,22
2023-09,27
2023-10,28
2023-11,16
2023-12,30
2024-01,46
2024-02,56
2024-03,53
2024-04,31
2024-05,22
2024-06,27
2024-07,30
2024-08,27
2024-09,90
2024-10,84
2024-11,77
2024-12,30
2025-01,87
2025-02,75
2025-03,51
2025-04,55
2025-05,50
