Categoria: Tutte le categorie

Mese,immigrants: (Missouri)
2004-01,48
2004-02,46
2004-03,45
2004-04,36
2004-05,33
2004-06,0
2004-07,0
2004-08,0
2004-09,29
2004-10,51
2004-11,41
2004-12,23
2005-01,22
2005-02,20
2005-03,32
2005-04,25
2005-05,33
2005-06,0
2005-07,0
2005-08,0
2005-09,26
2005-10,46
2005-11,28
2005-12,24
2006-01,25
2006-02,26
2006-03,32
2006-04,56
2006-05,58
2006-06,21
2006-07,19
2006-08,19
2006-09,30
2006-10,51
2006-11,38
2006-12,25
2007-01,38
2007-02,30
2007-03,34
2007-04,30
2007-05,21
2007-06,15
2007-07,19
2007-08,20
2007-09,32
2007-10,41
2007-11,33
2007-12,33
2008-01,28
2008-02,36
2008-03,21
2008-04,34
2008-05,21
2008-06,14
2008-07,15
2008-08,16
2008-09,29
2008-10,34
2008-11,35
2008-12,19
2009-01,18
2009-02,26
2009-03,19
2009-04,29
2009-05,20
2009-06,14
2009-07,12
2009-08,17
2009-09,27
2009-10,31
2009-11,30
2009-12,24
2010-01,15
2010-02,24
2010-03,24
2010-04,35
2010-05,38
2010-06,17
2010-07,26
2010-08,23
2010-09,24
2010-10,33
2010-11,27
2010-12,23
2011-01,18
2011-02,24
2011-03,23
2011-04,22
2011-05,18
2011-06,14
2011-07,13
2011-08,12
2011-09,24
2011-10,32
2011-11,20
2011-12,17
2012-01,18
2012-02,20
2012-03,18
2012-04,17
2012-05,15
2012-06,12
2012-07,11
2012-08,10
2012-09,16
2012-10,22
2012-11,25
2012-12,19
2013-01,18
2013-02,18
2013-03,19
2013-04,21
2013-05,14
2013-06,10
2013-07,9
2013-08,9
2013-09,19
2013-10,28
2013-11,21
2013-12,18
2014-01,14
2014-02,22
2014-03,13
2014-04,19
2014-05,18
2014-06,13
2014-07,28
2014-08,15
2014-09,29
2014-10,32
2014-11,33
2014-12,20
2015-01,20
2015-02,21
2015-03,18
2015-04,21
2015-05,15
2015-06,10
2015-07,17
2015-08,22
2015-09,41
2015-10,37
2015-11,36
2015-12,28
2016-01,23
2016-02,30
2016-03,33
2016-04,26
2016-05,18
2016-06,19
2016-07,16
2016-08,16
2016-09,36
2016-10,37
2016-11,55
2016-12,30
2017-01,49
2017-02,91
2017-03,40
2017-04,27
2017-05,19
2017-06,13
2017-07,14
2017-08,16
2017-09,34
2017-10,32
2017-11,28
2017-12,22
2018-01,38
2018-02,38
2018-03,25
2018-04,31
2018-05,26
2018-06,61
2018-07,26
2018-08,26
2018-09,31
2018-10,62
2018-11,52
2018-12,36
2019-01,53
2019-02,39
2019-03,29
2019-04,35
2019-05,25
2019-06,24
2019-07,31
2019-08,25
2019-09,30
2019-10,29
2019-11,24
2019-12,23
2020-01,18
2020-02,27
2020-03,18
2020-04,19
2020-05,16
2020-06,14
2020-07,14
2020-08,15
2020-09,28
2020-10,25
2020-11,19
2020-12,13
2021-01,20
2021-02,23
2021-03,30
2021-04,23
2021-05,14
2021-06,9
2021-07,13
2021-08,16
2021-09,28
2021-10,30
2021-11,25
2021-12,14
2022-01,17
2022-02,20
2022-03,22
2022-04,30
2022-05,22
2022-06,14
2022-07,15
2022-08,15
2022-09,45
2022-10,33
2022-11,24
2022-12,28
2023-01,22
2023-02,28
2023-03,22
2023-04,21
2023-05,31
2023-06,17
2023-07,12
2023-08,15
2023-09,33
2023-10,42
2023-11,30
2023-12,31
2024-01,37
2024-02,50
2024-03,48
2024-04,30
2024-05,21
2024-06,23
2024-07,31
2024-08,38
2024-09,100
2024-10,79
2024-11,67
2024-12,38
2025-01,78
2025-02,78
2025-03,46
2025-04,49
2025-05,41
