Categoria: Tutte le categorie

Mese,immigrants: (Mississippi)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,64
2007-03,0
2007-04,40
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,51
2007-10,0
2007-11,55
2007-12,0
2008-01,53
2008-02,44
2008-03,36
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,38
2008-11,51
2008-12,0
2009-01,0
2009-02,49
2009-03,32
2009-04,0
2009-05,29
2009-06,0
2009-07,0
2009-08,30
2009-09,30
2009-10,39
2009-11,0
2009-12,0
2010-01,45
2010-02,35
2010-03,37
2010-04,37
2010-05,40
2010-06,0
2010-07,0
2010-08,0
2010-09,47
2010-10,45
2010-11,0
2010-12,28
2011-01,29
2011-02,20
2011-03,23
2011-04,18
2011-05,0
2011-06,22
2011-07,0
2011-08,0
2011-09,45
2011-10,34
2011-11,29
2011-12,16
2012-01,18
2012-02,15
2012-03,25
2012-04,25
2012-05,18
2012-06,11
2012-07,15
2012-08,22
2012-09,40
2012-10,19
2012-11,22
2012-12,13
2013-01,21
2013-02,18
2013-03,22
2013-04,24
2013-05,18
2013-06,20
2013-07,0
2013-08,17
2013-09,30
2013-10,26
2013-11,15
2013-12,19
2014-01,15
2014-02,15
2014-03,17
2014-04,18
2014-05,16
2014-06,19
2014-07,26
2014-08,20
2014-09,44
2014-10,36
2014-11,32
2014-12,17
2015-01,23
2015-02,30
2015-03,38
2015-04,34
2015-05,14
2015-06,17
2015-07,18
2015-08,23
2015-09,61
2015-10,43
2015-11,41
2015-12,28
2016-01,28
2016-02,35
2016-03,31
2016-04,30
2016-05,19
2016-06,21
2016-07,16
2016-08,25
2016-09,56
2016-10,34
2016-11,48
2016-12,28
2017-01,56
2017-02,94
2017-03,49
2017-04,35
2017-05,21
2017-06,13
2017-07,16
2017-08,38
2017-09,49
2017-10,32
2017-11,32
2017-12,20
2018-01,43
2018-02,32
2018-03,30
2018-04,39
2018-05,23
2018-06,51
2018-07,20
2018-08,30
2018-09,40
2018-10,65
2018-11,52
2018-12,39
2019-01,60
2019-02,40
2019-03,30
2019-04,40
2019-05,18
2019-06,29
2019-07,31
2019-08,69
2019-09,36
2019-10,31
2019-11,24
2019-12,23
2020-01,22
2020-02,37
2020-03,21
2020-04,24
2020-05,13
2020-06,10
2020-07,14
2020-08,26
2020-09,63
2020-10,40
2020-11,25
2020-12,19
2021-01,27
2021-02,32
2021-03,29
2021-04,24
2021-05,18
2021-06,15
2021-07,13
2021-08,29
2021-09,39
2021-10,29
2021-11,29
2021-12,15
2022-01,24
2022-02,26
2022-03,28
2022-04,48
2022-05,17
2022-06,15
2022-07,16
2022-08,42
2022-09,72
2022-10,36
2022-11,30
2022-12,26
2023-01,33
2023-02,34
2023-03,34
2023-04,31
2023-05,34
2023-06,17
2023-07,15
2023-08,41
2023-09,68
2023-10,45
2023-11,37
2023-12,33
2024-01,52
2024-02,62
2024-03,43
2024-04,46
2024-05,23
2024-06,21
2024-07,27
2024-08,61
2024-09,100
2024-10,60
2024-11,61
2024-12,30
2025-01,96
2025-02,87
2025-03,47
2025-04,60
2025-05,40
