Categoria: Tutte le categorie

Mese,immigrants: (Montana)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,80
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,77
2008-02,0
2008-03,0
2008-04,59
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,81
2010-06,0
2010-07,81
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,44
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,26
2012-01,0
2012-02,26
2012-03,0
2012-04,0
2012-05,0
2012-06,33
2012-07,0
2012-08,28
2012-09,23
2012-10,35
2012-11,0
2012-12,0
2013-01,0
2013-02,27
2013-03,22
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,17
2013-11,28
2013-12,0
2014-01,0
2014-02,30
2014-03,0
2014-04,0
2014-05,22
2014-06,31
2014-07,31
2014-08,0
2014-09,28
2014-10,23
2014-11,36
2014-12,29
2015-01,23
2015-02,39
2015-03,22
2015-04,19
2015-05,20
2015-06,0
2015-07,24
2015-08,0
2015-09,30
2015-10,42
2015-11,32
2015-12,25
2016-01,18
2016-02,43
2016-03,33
2016-04,33
2016-05,20
2016-06,15
2016-07,15
2016-08,0
2016-09,34
2016-10,24
2016-11,45
2016-12,27
2017-01,49
2017-02,98
2017-03,48
2017-04,34
2017-05,28
2017-06,25
2017-07,22
2017-08,0
2017-09,34
2017-10,37
2017-11,22
2017-12,16
2018-01,51
2018-02,42
2018-03,38
2018-04,29
2018-05,34
2018-06,80
2018-07,37
2018-08,23
2018-09,16
2018-10,62
2018-11,54
2018-12,38
2019-01,88
2019-02,51
2019-03,34
2019-04,32
2019-05,28
2019-06,28
2019-07,22
2019-08,31
2019-09,28
2019-10,22
2019-11,19
2019-12,24
2020-01,22
2020-02,27
2020-03,21
2020-04,15
2020-05,19
2020-06,19
2020-07,14
2020-08,12
2020-09,24
2020-10,27
2020-11,18
2020-12,14
2021-01,16
2021-02,28
2021-03,52
2021-04,36
2021-05,16
2021-06,16
2021-07,0
2021-08,18
2021-09,15
2021-10,32
2021-11,39
2021-12,18
2022-01,22
2022-02,18
2022-03,17
2022-04,36
2022-05,29
2022-06,17
2022-07,10
2022-08,19
2022-09,38
2022-10,27
2022-11,22
2022-12,26
2023-01,14
2023-02,33
2023-03,21
2023-04,22
2023-05,23
2023-06,15
2023-07,9
2023-08,17
2023-09,33
2023-10,27
2023-11,29
2023-12,43
2024-01,44
2024-02,65
2024-03,46
2024-04,48
2024-05,39
2024-06,27
2024-07,36
2024-08,60
2024-09,100
2024-10,69
2024-11,68
2024-12,28
2025-01,93
2025-02,94
2025-03,65
2025-04,61
2025-05,51
