Categoria: Tutte le categorie

Mese,immigrants: (Carolina del Nord)
2004-01,32
2004-02,33
2004-03,30
2004-04,23
2004-05,0
2004-06,0
2004-07,24
2004-08,29
2004-09,16
2004-10,26
2004-11,35
2004-12,17
2005-01,16
2005-02,28
2005-03,26
2005-04,33
2005-05,34
2005-06,18
2005-07,16
2005-08,15
2005-09,18
2005-10,15
2005-11,28
2005-12,19
2006-01,20
2006-02,32
2006-03,34
2006-04,47
2006-05,53
2006-06,21
2006-07,16
2006-08,13
2006-09,30
2006-10,33
2006-11,30
2006-12,30
2007-01,27
2007-02,32
2007-03,28
2007-04,27
2007-05,25
2007-06,21
2007-07,13
2007-08,17
2007-09,29
2007-10,34
2007-11,33
2007-12,26
2008-01,22
2008-02,31
2008-03,29
2008-04,35
2008-05,20
2008-06,11
2008-07,12
2008-08,15
2008-09,21
2008-10,25
2008-11,28
2008-12,22
2009-01,17
2009-02,28
2009-03,27
2009-04,26
2009-05,17
2009-06,14
2009-07,10
2009-08,11
2009-09,26
2009-10,30
2009-11,26
2009-12,16
2010-01,15
2010-02,23
2010-03,32
2010-04,28
2010-05,30
2010-06,17
2010-07,17
2010-08,14
2010-09,21
2010-10,25
2010-11,24
2010-12,16
2011-01,14
2011-02,22
2011-03,22
2011-04,18
2011-05,14
2011-06,11
2011-07,10
2011-08,11
2011-09,16
2011-10,21
2011-11,20
2011-12,13
2012-01,14
2012-02,18
2012-03,18
2012-04,16
2012-05,12
2012-06,14
2012-07,11
2012-08,11
2012-09,15
2012-10,19
2012-11,21
2012-12,15
2013-01,15
2013-02,26
2013-03,23
2013-04,21
2013-05,16
2013-06,11
2013-07,10
2013-08,10
2013-09,15
2013-10,21
2013-11,16
2013-12,15
2014-01,15
2014-02,19
2014-03,20
2014-04,15
2014-05,14
2014-06,13
2014-07,23
2014-08,12
2014-09,21
2014-10,23
2014-11,25
2014-12,15
2015-01,20
2015-02,28
2015-03,23
2015-04,20
2015-05,16
2015-06,14
2015-07,16
2015-08,18
2015-09,32
2015-10,26
2015-11,30
2015-12,19
2016-01,22
2016-02,35
2016-03,30
2016-04,24
2016-05,21
2016-06,16
2016-07,14
2016-08,14
2016-09,29
2016-10,24
2016-11,38
2016-12,19
2017-01,38
2017-02,100
2017-03,44
2017-04,24
2017-05,20
2017-06,14
2017-07,13
2017-08,13
2017-09,28
2017-10,19
2017-11,20
2017-12,16
2018-01,32
2018-02,38
2018-03,25
2018-04,23
2018-05,22
2018-06,41
2018-07,22
2018-08,17
2018-09,22
2018-10,37
2018-11,39
2018-12,23
2019-01,42
2019-02,39
2019-03,28
2019-04,27
2019-05,20
2019-06,21
2019-07,25
2019-08,21
2019-09,25
2019-10,25
2019-11,22
2019-12,18
2020-01,22
2020-02,28
2020-03,19
2020-04,20
2020-05,15
2020-06,13
2020-07,11
2020-08,19
2020-09,29
2020-10,21
2020-11,17
2020-12,12
2021-01,21
2021-02,24
2021-03,28
2021-04,20
2021-05,13
2021-06,10
2021-07,11
2021-08,14
2021-09,25
2021-10,23
2021-11,20
2021-12,12
2022-01,16
2022-02,21
2022-03,22
2022-04,28
2022-05,22
2022-06,15
2022-07,12
2022-08,14
2022-09,39
2022-10,27
2022-11,24
2022-12,20
2023-01,25
2023-02,30
2023-03,30
2023-04,22
2023-05,31
2023-06,15
2023-07,12
2023-08,15
2023-09,29
2023-10,32
2023-11,24
2023-12,24
2024-01,37
2024-02,49
2024-03,45
2024-04,32
2024-05,24
2024-06,21
2024-07,22
2024-08,30
2024-09,72
2024-10,61
2024-11,60
2024-12,26
2025-01,64
2025-02,74
2025-03,44
2025-04,42
2025-05,35
