Categoria: Tutte le categorie

Mese,immigrants: (Dakota del Nord)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,100
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,72
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,55
2009-10,0
2009-11,49
2009-12,0
2010-01,0
2010-02,0
2010-03,50
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,47
2010-11,41
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,24
2011-10,29
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,19
2012-11,0
2012-12,0
2013-01,23
2013-02,0
2013-03,19
2013-04,17
2013-05,22
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,19
2013-11,25
2013-12,31
2014-01,17
2014-02,23
2014-03,0
2014-04,0
2014-05,24
2014-06,0
2014-07,29
2014-08,0
2014-09,21
2014-10,28
2014-11,23
2014-12,0
2015-01,26
2015-02,29
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,18
2015-08,0
2015-09,32
2015-10,41
2015-11,29
2015-12,18
2016-01,25
2016-02,40
2016-03,28
2016-04,19
2016-05,24
2016-06,14
2016-07,19
2016-08,21
2016-09,44
2016-10,31
2016-11,41
2016-12,21
2017-01,40
2017-02,72
2017-03,37
2017-04,27
2017-05,13
2017-06,0
2017-07,16
2017-08,14
2017-09,30
2017-10,18
2017-11,23
2017-12,21
2018-01,29
2018-02,30
2018-03,16
2018-04,40
2018-05,17
2018-06,52
2018-07,28
2018-08,30
2018-09,17
2018-10,34
2018-11,33
2018-12,31
2019-01,41
2019-02,34
2019-03,23
2019-04,35
2019-05,18
2019-06,17
2019-07,29
2019-08,16
2019-09,31
2019-10,35
2019-11,0
2019-12,31
2020-01,14
2020-02,24
2020-03,15
2020-04,22
2020-05,17
2020-06,10
2020-07,19
2020-08,0
2020-09,19
2020-10,27
2020-11,22
2020-12,12
2021-01,21
2021-02,20
2021-03,31
2021-04,16
2021-05,16
2021-06,0
2021-07,14
2021-08,18
2021-09,24
2021-10,27
2021-11,20
2021-12,10
2022-01,0
2022-02,18
2022-03,24
2022-04,22
2022-05,18
2022-06,0
2022-07,0
2022-08,13
2022-09,34
2022-10,26
2022-11,19
2022-12,21
2023-01,21
2023-02,16
2023-03,16
2023-04,11
2023-05,24
2023-06,10
2023-07,12
2023-08,13
2023-09,28
2023-10,40
2023-11,25
2023-12,26
2024-01,33
2024-02,47
2024-03,46
2024-04,24
2024-05,17
2024-06,16
2024-07,16
2024-08,30
2024-09,67
2024-10,58
2024-11,56
2024-12,34
2025-01,50
2025-02,48
2025-03,35
2025-04,39
2025-05,31
