Categoria: Tutte le categorie

Mese,immigrants: (Nebraska)
2004-01,0
2004-02,100
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,52
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,51
2005-05,0
2005-06,0
2005-07,0
2005-08,44
2005-09,0
2005-10,50
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,35
2006-04,54
2006-05,51
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,31
2006-11,32
2006-12,43
2007-01,25
2007-02,24
2007-03,32
2007-04,33
2007-05,0
2007-06,22
2007-07,20
2007-08,0
2007-09,29
2007-10,41
2007-11,40
2007-12,20
2008-01,30
2008-02,25
2008-03,23
2008-04,22
2008-05,22
2008-06,20
2008-07,18
2008-08,0
2008-09,17
2008-10,14
2008-11,41
2008-12,16
2009-01,0
2009-02,32
2009-03,28
2009-04,42
2009-05,16
2009-06,15
2009-07,17
2009-08,14
2009-09,31
2009-10,29
2009-11,17
2009-12,27
2010-01,0
2010-02,17
2010-03,32
2010-04,33
2010-05,39
2010-06,16
2010-07,17
2010-08,16
2010-09,29
2010-10,38
2010-11,19
2010-12,22
2011-01,15
2011-02,18
2011-03,15
2011-04,17
2011-05,17
2011-06,8
2011-07,11
2011-08,8
2011-09,17
2011-10,22
2011-11,14
2011-12,9
2012-01,10
2012-02,15
2012-03,14
2012-04,15
2012-05,19
2012-06,11
2012-07,0
2012-08,8
2012-09,22
2012-10,13
2012-11,19
2012-12,15
2013-01,17
2013-02,15
2013-03,16
2013-04,15
2013-05,13
2013-06,9
2013-07,8
2013-08,4
2013-09,16
2013-10,16
2013-11,15
2013-12,14
2014-01,10
2014-02,15
2014-03,14
2014-04,17
2014-05,9
2014-06,9
2014-07,26
2014-08,12
2014-09,16
2014-10,19
2014-11,19
2014-12,16
2015-01,12
2015-02,17
2015-03,17
2015-04,17
2015-05,15
2015-06,11
2015-07,15
2015-08,17
2015-09,27
2015-10,19
2015-11,32
2015-12,20
2016-01,20
2016-02,24
2016-03,20
2016-04,21
2016-05,17
2016-06,10
2016-07,10
2016-08,11
2016-09,16
2016-10,23
2016-11,37
2016-12,16
2017-01,31
2017-02,67
2017-03,29
2017-04,17
2017-05,15
2017-06,10
2017-07,12
2017-08,11
2017-09,25
2017-10,21
2017-11,16
2017-12,14
2018-01,28
2018-02,23
2018-03,15
2018-04,18
2018-05,20
2018-06,37
2018-07,18
2018-08,21
2018-09,17
2018-10,34
2018-11,32
2018-12,21
2019-01,40
2019-02,26
2019-03,22
2019-04,25
2019-05,18
2019-06,17
2019-07,18
2019-08,19
2019-09,20
2019-10,20
2019-11,14
2019-12,18
2020-01,18
2020-02,21
2020-03,16
2020-04,16
2020-05,14
2020-06,12
2020-07,12
2020-08,11
2020-09,20
2020-10,13
2020-11,13
2020-12,12
2021-01,15
2021-02,17
2021-03,19
2021-04,18
2021-05,11
2021-06,7
2021-07,10
2021-08,12
2021-09,13
2021-10,19
2021-11,21
2021-12,14
2022-01,16
2022-02,16
2022-03,17
2022-04,22
2022-05,18
2022-06,12
2022-07,11
2022-08,13
2022-09,31
2022-10,20
2022-11,18
2022-12,18
2023-01,18
2023-02,18
2023-03,15
2023-04,15
2023-05,19
2023-06,12
2023-07,9
2023-08,18
2023-09,27
2023-10,24
2023-11,14
2023-12,18
2024-01,24
2024-02,30
2024-03,32
2024-04,27
2024-05,19
2024-06,14
2024-07,17
2024-08,25
2024-09,64
2024-10,37
2024-11,51
2024-12,20
2025-01,60
2025-02,56
2025-03,33
2025-04,37
2025-05,31
