Categoria: Tutte le categorie

Mese,immigrants: (New Hampshire)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,100
2004-12,73
2005-01,63
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,40
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,47
2006-04,44
2006-05,84
2006-06,32
2006-07,0
2006-08,0
2006-09,56
2006-10,32
2006-11,0
2006-12,30
2007-01,30
2007-02,0
2007-03,38
2007-04,0
2007-05,35
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,40
2007-12,25
2008-01,28
2008-02,23
2008-03,39
2008-04,37
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,29
2008-10,23
2008-11,0
2008-12,27
2009-01,20
2009-02,35
2009-03,23
2009-04,20
2009-05,23
2009-06,17
2009-07,0
2009-08,0
2009-09,19
2009-10,21
2009-11,27
2009-12,23
2010-01,21
2010-02,0
2010-03,28
2010-04,25
2010-05,39
2010-06,0
2010-07,0
2010-08,0
2010-09,18
2010-10,21
2010-11,19
2010-12,22
2011-01,12
2011-02,10
2011-03,19
2011-04,14
2011-05,17
2011-06,12
2011-07,8
2011-08,0
2011-09,15
2011-10,22
2011-11,15
2011-12,18
2012-01,13
2012-02,21
2012-03,15
2012-04,19
2012-05,22
2012-06,18
2012-07,8
2012-08,10
2012-09,11
2012-10,14
2012-11,25
2012-12,19
2013-01,17
2013-02,11
2013-03,18
2013-04,21
2013-05,23
2013-06,12
2013-07,12
2013-08,0
2013-09,14
2013-10,19
2013-11,16
2013-12,15
2014-01,19
2014-02,12
2014-03,11
2014-04,16
2014-05,12
2014-06,15
2014-07,27
2014-08,11
2014-09,17
2014-10,16
2014-11,29
2014-12,20
2015-01,17
2015-02,11
2015-03,20
2015-04,13
2015-05,15
2015-06,17
2015-07,23
2015-08,14
2015-09,19
2015-10,28
2015-11,36
2015-12,21
2016-01,19
2016-02,27
2016-03,24
2016-04,11
2016-05,27
2016-06,21
2016-07,16
2016-08,13
2016-09,20
2016-10,34
2016-11,50
2016-12,20
2017-01,45
2017-02,61
2017-03,34
2017-04,29
2017-05,28
2017-06,12
2017-07,11
2017-08,14
2017-09,24
2017-10,17
2017-11,21
2017-12,14
2018-01,32
2018-02,28
2018-03,21
2018-04,17
2018-05,21
2018-06,52
2018-07,27
2018-08,15
2018-09,15
2018-10,32
2018-11,40
2018-12,34
2019-01,42
2019-02,24
2019-03,22
2019-04,30
2019-05,26
2019-06,24
2019-07,27
2019-08,22
2019-09,20
2019-10,23
2019-11,17
2019-12,18
2020-01,19
2020-02,27
2020-03,14
2020-04,19
2020-05,13
2020-06,10
2020-07,12
2020-08,6
2020-09,21
2020-10,21
2020-11,16
2020-12,15
2021-01,13
2021-02,12
2021-03,28
2021-04,21
2021-05,14
2021-06,11
2021-07,11
2021-08,14
2021-09,22
2021-10,24
2021-11,21
2021-12,10
2022-01,15
2022-02,16
2022-03,13
2022-04,19
2022-05,16
2022-06,15
2022-07,11
2022-08,12
2022-09,42
2022-10,21
2022-11,18
2022-12,16
2023-01,17
2023-02,14
2023-03,17
2023-04,12
2023-05,24
2023-06,11
2023-07,14
2023-08,15
2023-09,23
2023-10,25
2023-11,22
2023-12,28
2024-01,36
2024-02,35
2024-03,42
2024-04,26
2024-05,19
2024-06,19
2024-07,24
2024-08,27
2024-09,68
2024-10,46
2024-11,60
2024-12,25
2025-01,53
2025-02,55
2025-03,40
2025-04,47
2025-05,36
