Categoria: Tutte le categorie

Mese,immigrants: (New Jersey)
2004-01,24
2004-02,32
2004-03,52
2004-04,45
2004-05,50
2004-06,18
2004-07,15
2004-08,19
2004-09,30
2004-10,33
2004-11,33
2004-12,34
2005-01,27
2005-02,38
2005-03,39
2005-04,37
2005-05,40
2005-06,23
2005-07,10
2005-08,15
2005-09,25
2005-10,34
2005-11,29
2005-12,27
2006-01,24
2006-02,31
2006-03,35
2006-04,63
2006-05,65
2006-06,27
2006-07,10
2006-08,13
2006-09,23
2006-10,38
2006-11,34
2006-12,28
2007-01,24
2007-02,25
2007-03,32
2007-04,33
2007-05,31
2007-06,25
2007-07,16
2007-08,12
2007-09,25
2007-10,38
2007-11,35
2007-12,28
2008-01,22
2008-02,26
2008-03,29
2008-04,42
2008-05,28
2008-06,21
2008-07,13
2008-08,11
2008-09,18
2008-10,25
2008-11,25
2008-12,20
2009-01,21
2009-02,25
2009-03,25
2009-04,31
2009-05,24
2009-06,15
2009-07,11
2009-08,13
2009-09,22
2009-10,27
2009-11,26
2009-12,23
2010-01,19
2010-02,17
2010-03,28
2010-04,27
2010-05,29
2010-06,19
2010-07,16
2010-08,12
2010-09,19
2010-10,22
2010-11,25
2010-12,21
2011-01,19
2011-02,23
2011-03,24
2011-04,24
2011-05,23
2011-06,17
2011-07,12
2011-08,10
2011-09,19
2011-10,28
2011-11,22
2011-12,20
2012-01,18
2012-02,20
2012-03,24
2012-04,21
2012-05,23
2012-06,19
2012-07,12
2012-08,11
2012-09,19
2012-10,21
2012-11,21
2012-12,19
2013-01,18
2013-02,19
2013-03,22
2013-04,25
2013-05,23
2013-06,17
2013-07,10
2013-08,9
2013-09,16
2013-10,22
2013-11,19
2013-12,18
2014-01,19
2014-02,21
2014-03,24
2014-04,22
2014-05,22
2014-06,20
2014-07,21
2014-08,11
2014-09,19
2014-10,27
2014-11,32
2014-12,22
2015-01,21
2015-02,22
2015-03,21
2015-04,25
2015-05,22
2015-06,18
2015-07,18
2015-08,18
2015-09,29
2015-10,33
2015-11,33
2015-12,27
2016-01,26
2016-02,30
2016-03,28
2016-04,26
2016-05,28
2016-06,24
2016-07,16
2016-08,15
2016-09,29
2016-10,31
2016-11,54
2016-12,26
2017-01,53
2017-02,100
2017-03,45
2017-04,31
2017-05,28
2017-06,22
2017-07,15
2017-08,15
2017-09,28
2017-10,26
2017-11,24
2017-12,22
2018-01,37
2018-02,32
2018-03,25
2018-04,31
2018-05,33
2018-06,50
2018-07,25
2018-08,19
2018-09,23
2018-10,44
2018-11,41
2018-12,33
2019-01,46
2019-02,34
2019-03,31
2019-04,30
2019-05,28
2019-06,32
2019-07,30
2019-08,20
2019-09,22
2019-10,28
2019-11,27
2019-12,36
2020-01,24
2020-02,25
2020-03,24
2020-04,28
2020-05,25
2020-06,20
2020-07,16
2020-08,17
2020-09,24
2020-10,23
2020-11,21
2020-12,17
2021-01,24
2021-02,22
2021-03,31
2021-04,27
2021-05,23
2021-06,16
2021-07,13
2021-08,18
2021-09,21
2021-10,23
2021-11,22
2021-12,13
2022-01,18
2022-02,18
2022-03,18
2022-04,28
2022-05,24
2022-06,18
2022-07,15
2022-08,15
2022-09,38
2022-10,26
2022-11,21
2022-12,21
2023-01,22
2023-02,23
2023-03,24
2023-04,20
2023-05,34
2023-06,20
2023-07,14
2023-08,17
2023-09,30
2023-10,31
2023-11,25
2023-12,25
2024-01,40
2024-02,40
2024-03,38
2024-04,32
2024-05,25
2024-06,25
2024-07,24
2024-08,31
2024-09,61
2024-10,48
2024-11,62
2024-12,27
2025-01,70
2025-02,67
2025-03,38
2025-04,41
2025-05,38
