Categoria: Tutte le categorie

Mese,immigrants: (Nuovo Messico)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,49
2006-03,48
2006-04,80
2006-05,69
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,43
2006-12,0
2007-01,0
2007-02,0
2007-03,36
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,38
2007-10,47
2007-11,46
2007-12,0
2008-01,24
2008-02,43
2008-03,40
2008-04,45
2008-05,28
2008-06,0
2008-07,0
2008-08,27
2008-09,0
2008-10,47
2008-11,33
2008-12,26
2009-01,0
2009-02,0
2009-03,0
2009-04,36
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,37
2009-10,31
2009-11,0
2009-12,25
2010-01,0
2010-02,21
2010-03,34
2010-04,48
2010-05,54
2010-06,0
2010-07,0
2010-08,26
2010-09,28
2010-10,26
2010-11,27
2010-12,0
2011-01,15
2011-02,37
2011-03,26
2011-04,28
2011-05,18
2011-06,24
2011-07,12
2011-08,17
2011-09,21
2011-10,28
2011-11,28
2011-12,17
2012-01,17
2012-02,29
2012-03,20
2012-04,22
2012-05,16
2012-06,16
2012-07,13
2012-08,18
2012-09,22
2012-10,27
2012-11,23
2012-12,16
2013-01,16
2013-02,22
2013-03,26
2013-04,27
2013-05,20
2013-06,15
2013-07,8
2013-08,12
2013-09,21
2013-10,24
2013-11,26
2013-12,14
2014-01,21
2014-02,27
2014-03,24
2014-04,22
2014-05,15
2014-06,24
2014-07,38
2014-08,14
2014-09,29
2014-10,21
2014-11,30
2014-12,14
2015-01,17
2015-02,28
2015-03,24
2015-04,20
2015-05,10
2015-06,18
2015-07,23
2015-08,26
2015-09,37
2015-10,38
2015-11,39
2015-12,27
2016-01,29
2016-02,33
2016-03,23
2016-04,26
2016-05,23
2016-06,16
2016-07,16
2016-08,13
2016-09,31
2016-10,28
2016-11,47
2016-12,21
2017-01,40
2017-02,100
2017-03,44
2017-04,30
2017-05,23
2017-06,16
2017-07,16
2017-08,10
2017-09,29
2017-10,31
2017-11,26
2017-12,22
2018-01,30
2018-02,27
2018-03,26
2018-04,29
2018-05,27
2018-06,50
2018-07,29
2018-08,20
2018-09,21
2018-10,40
2018-11,49
2018-12,37
2019-01,44
2019-02,35
2019-03,32
2019-04,41
2019-05,37
2019-06,32
2019-07,30
2019-08,27
2019-09,29
2019-10,23
2019-11,18
2019-12,20
2020-01,18
2020-02,23
2020-03,13
2020-04,17
2020-05,20
2020-06,13
2020-07,16
2020-08,17
2020-09,33
2020-10,29
2020-11,22
2020-12,16
2021-01,16
2021-02,25
2021-03,35
2021-04,25
2021-05,14
2021-06,10
2021-07,14
2021-08,18
2021-09,29
2021-10,25
2021-11,22
2021-12,12
2022-01,14
2022-02,18
2022-03,15
2022-04,30
2022-05,25
2022-06,16
2022-07,13
2022-08,16
2022-09,44
2022-10,27
2022-11,24
2022-12,26
2023-01,24
2023-02,23
2023-03,21
2023-04,21
2023-05,37
2023-06,20
2023-07,16
2023-08,18
2023-09,37
2023-10,34
2023-11,23
2023-12,29
2024-01,34
2024-02,31
2024-03,39
2024-04,28
2024-05,25
2024-06,23
2024-07,29
2024-08,37
2024-09,71
2024-10,48
2024-11,65
2024-12,28
2025-01,70
2025-02,81
2025-03,45
2025-04,40
2025-05,40
