Categoria: Tutte le categorie

Mese,immigrants: (New York)
2004-01,49
2004-02,43
2004-03,34
2004-04,42
2004-05,46
2004-06,22
2004-07,19
2004-08,21
2004-09,30
2004-10,34
2004-11,48
2004-12,49
2005-01,34
2005-02,39
2005-03,40
2005-04,39
2005-05,32
2005-06,23
2005-07,17
2005-08,15
2005-09,22
2005-10,36
2005-11,55
2005-12,44
2006-01,31
2006-02,33
2006-03,44
2006-04,65
2006-05,70
2006-06,29
2006-07,17
2006-08,16
2006-09,23
2006-10,38
2006-11,47
2006-12,41
2007-01,32
2007-02,34
2007-03,34
2007-04,32
2007-05,41
2007-06,22
2007-07,17
2007-08,14
2007-09,27
2007-10,43
2007-11,49
2007-12,37
2008-01,27
2008-02,31
2008-03,32
2008-04,33
2008-05,29
2008-06,18
2008-07,15
2008-08,11
2008-09,20
2008-10,31
2008-11,35
2008-12,32
2009-01,25
2009-02,26
2009-03,33
2009-04,30
2009-05,30
2009-06,22
2009-07,16
2009-08,13
2009-09,22
2009-10,30
2009-11,37
2009-12,33
2010-01,26
2010-02,23
2010-03,30
2010-04,32
2010-05,37
2010-06,22
2010-07,19
2010-08,14
2010-09,21
2010-10,28
2010-11,31
2010-12,27
2011-01,16
2011-02,18
2011-03,20
2011-04,19
2011-05,20
2011-06,14
2011-07,10
2011-08,10
2011-09,14
2011-10,22
2011-11,23
2011-12,22
2012-01,19
2012-02,21
2012-03,20
2012-04,19
2012-05,21
2012-06,17
2012-07,11
2012-08,12
2012-09,13
2012-10,20
2012-11,22
2012-12,20
2013-01,20
2013-02,22
2013-03,22
2013-04,21
2013-05,25
2013-06,15
2013-07,10
2013-08,10
2013-09,14
2013-10,23
2013-11,25
2013-12,22
2014-01,20
2014-02,20
2014-03,23
2014-04,19
2014-05,19
2014-06,20
2014-07,22
2014-08,13
2014-09,19
2014-10,25
2014-11,34
2014-12,25
2015-01,26
2015-02,22
2015-03,23
2015-04,21
2015-05,21
2015-06,18
2015-07,17
2015-08,17
2015-09,25
2015-10,28
2015-11,37
2015-12,31
2016-01,29
2016-02,29
2016-03,29
2016-04,26
2016-05,26
2016-06,22
2016-07,17
2016-08,15
2016-09,23
2016-10,28
2016-11,50
2016-12,33
2017-01,47
2017-02,100
2017-03,43
2017-04,30
2017-05,27
2017-06,22
2017-07,17
2017-08,17
2017-09,27
2017-10,26
2017-11,30
2017-12,26
2018-01,40
2018-02,31
2018-03,26
2018-04,27
2018-05,30
2018-06,49
2018-07,27
2018-08,19
2018-09,20
2018-10,40
2018-11,40
2018-12,32
2019-01,39
2019-02,31
2019-03,27
2019-04,29
2019-05,26
2019-06,39
2019-07,30
2019-08,21
2019-09,20
2019-10,28
2019-11,28
2019-12,33
2020-01,25
2020-02,27
2020-03,23
2020-04,29
2020-05,24
2020-06,20
2020-07,17
2020-08,16
2020-09,18
2020-10,21
2020-11,23
2020-12,19
2021-01,22
2021-02,21
2021-03,26
2021-04,29
2021-05,17
2021-06,14
2021-07,12
2021-08,16
2021-09,20
2021-10,22
2021-11,23
2021-12,18
2022-01,22
2022-02,20
2022-03,22
2022-04,25
2022-05,21
2022-06,17
2022-07,15
2022-08,18
2022-09,32
2022-10,27
2022-11,25
2022-12,24
2023-01,24
2023-02,26
2023-03,25
2023-04,19
2023-05,40
2023-06,23
2023-07,16
2023-08,22
2023-09,26
2023-10,28
2023-11,27
2023-12,28
2024-01,32
2024-02,40
2024-03,39
2024-04,27
2024-05,26
2024-06,25
2024-07,24
2024-08,29
2024-09,50
2024-10,44
2024-11,59
2024-12,32
2025-01,61
2025-02,56
2025-03,35
2025-04,38
2025-05,33
