Categoria: Tutte le categorie

Mese,immigrants: (Oklahoma)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,31
2006-04,75
2006-05,43
2006-06,0
2006-07,0
2006-08,0
2006-09,32
2006-10,33
2006-11,45
2006-12,0
2007-01,0
2007-02,52
2007-03,36
2007-04,30
2007-05,32
2007-06,0
2007-07,29
2007-08,0
2007-09,33
2007-10,39
2007-11,43
2007-12,24
2008-01,0
2008-02,33
2008-03,33
2008-04,38
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,27
2008-10,21
2008-11,27
2008-12,0
2009-01,16
2009-02,24
2009-03,19
2009-04,22
2009-05,23
2009-06,0
2009-07,0
2009-08,15
2009-09,23
2009-10,26
2009-11,35
2009-12,0
2010-01,0
2010-02,27
2010-03,27
2010-04,33
2010-05,27
2010-06,21
2010-07,20
2010-08,28
2010-09,26
2010-10,28
2010-11,25
2010-12,25
2011-01,24
2011-02,19
2011-03,29
2011-04,29
2011-05,17
2011-06,0
2011-07,11
2011-08,16
2011-09,25
2011-10,23
2011-11,19
2011-12,17
2012-01,18
2012-02,22
2012-03,24
2012-04,26
2012-05,15
2012-06,16
2012-07,14
2012-08,16
2012-09,28
2012-10,27
2012-11,25
2012-12,17
2013-01,18
2013-02,22
2013-03,22
2013-04,27
2013-05,18
2013-06,9
2013-07,10
2013-08,10
2013-09,17
2013-10,23
2013-11,19
2013-12,12
2014-01,17
2014-02,18
2014-03,18
2014-04,20
2014-05,12
2014-06,19
2014-07,43
2014-08,18
2014-09,22
2014-10,18
2014-11,32
2014-12,18
2015-01,17
2015-02,18
2015-03,16
2015-04,16
2015-05,12
2015-06,11
2015-07,28
2015-08,23
2015-09,40
2015-10,38
2015-11,36
2015-12,27
2016-01,26
2016-02,27
2016-03,27
2016-04,31
2016-05,21
2016-06,23
2016-07,21
2016-08,18
2016-09,48
2016-10,49
2016-11,50
2016-12,28
2017-01,53
2017-02,100
2017-03,43
2017-04,30
2017-05,24
2017-06,18
2017-07,17
2017-08,19
2017-09,47
2017-10,30
2017-11,26
2017-12,23
2018-01,40
2018-02,37
2018-03,25
2018-04,27
2018-05,28
2018-06,61
2018-07,27
2018-08,24
2018-09,38
2018-10,53
2018-11,51
2018-12,35
2019-01,56
2019-02,38
2019-03,27
2019-04,35
2019-05,20
2019-06,32
2019-07,31
2019-08,27
2019-09,40
2019-10,31
2019-11,22
2019-12,21
2020-01,19
2020-02,30
2020-03,20
2020-04,24
2020-05,16
2020-06,17
2020-07,17
2020-08,20
2020-09,50
2020-10,41
2020-11,26
2020-12,21
2021-01,26
2021-02,28
2021-03,30
2021-04,29
2021-05,21
2021-06,12
2021-07,12
2021-08,21
2021-09,42
2021-10,33
2021-11,31
2021-12,14
2022-01,22
2022-02,25
2022-03,26
2022-04,43
2022-05,29
2022-06,18
2022-07,19
2022-08,20
2022-09,61
2022-10,40
2022-11,30
2022-12,29
2023-01,30
2023-02,33
2023-03,28
2023-04,31
2023-05,29
2023-06,18
2023-07,17
2023-08,26
2023-09,54
2023-10,48
2023-11,38
2023-12,40
2024-01,45
2024-02,61
2024-03,55
2024-04,47
2024-05,32
2024-06,27
2024-07,27
2024-08,42
2024-09,98
2024-10,74
2024-11,79
2024-12,40
2025-01,91
2025-02,93
2025-03,52
2025-04,59
2025-05,46
