Categoria: Tutte le categorie

Mese,immigrants: (Oregon)
2004-01,34
2004-02,0
2004-03,0
2004-04,39
2004-05,36
2004-06,36
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,26
2005-02,40
2005-03,26
2005-04,28
2005-05,39
2005-06,21
2005-07,0
2005-08,0
2005-09,0
2005-10,31
2005-11,27
2005-12,36
2006-01,17
2006-02,30
2006-03,34
2006-04,58
2006-05,64
2006-06,38
2006-07,13
2006-08,0
2006-09,16
2006-10,25
2006-11,31
2006-12,19
2007-01,25
2007-02,21
2007-03,17
2007-04,18
2007-05,33
2007-06,28
2007-07,14
2007-08,13
2007-09,20
2007-10,32
2007-11,34
2007-12,16
2008-01,21
2008-02,27
2008-03,23
2008-04,20
2008-05,24
2008-06,13
2008-07,7
2008-08,9
2008-09,18
2008-10,20
2008-11,25
2008-12,12
2009-01,22
2009-02,27
2009-03,22
2009-04,22
2009-05,24
2009-06,18
2009-07,13
2009-08,8
2009-09,15
2009-10,25
2009-11,29
2009-12,15
2010-01,17
2010-02,19
2010-03,17
2010-04,28
2010-05,39
2010-06,24
2010-07,15
2010-08,16
2010-09,17
2010-10,17
2010-11,25
2010-12,18
2011-01,14
2011-02,17
2011-03,21
2011-04,18
2011-05,19
2011-06,13
2011-07,9
2011-08,8
2011-09,12
2011-10,16
2011-11,19
2011-12,12
2012-01,15
2012-02,15
2012-03,18
2012-04,14
2012-05,20
2012-06,15
2012-07,10
2012-08,8
2012-09,12
2012-10,17
2012-11,22
2012-12,10
2013-01,16
2013-02,15
2013-03,19
2013-04,21
2013-05,24
2013-06,11
2013-07,5
2013-08,4
2013-09,5
2013-10,8
2013-11,8
2013-12,8
2014-01,8
2014-02,7
2014-03,14
2014-04,11
2014-05,11
2014-06,7
2014-07,13
2014-08,6
2014-09,9
2014-10,10
2014-11,16
2014-12,8
2015-01,8
2015-02,9
2015-03,10
2015-04,8
2015-05,12
2015-06,14
2015-07,18
2015-08,15
2015-09,22
2015-10,26
2015-11,29
2015-12,20
2016-01,20
2016-02,23
2016-03,24
2016-04,22
2016-05,20
2016-06,20
2016-07,15
2016-08,11
2016-09,17
2016-10,26
2016-11,47
2016-12,18
2017-01,44
2017-02,100
2017-03,44
2017-04,23
2017-05,25
2017-06,21
2017-07,13
2017-08,14
2017-09,20
2017-10,19
2017-11,20
2017-12,15
2018-01,34
2018-02,29
2018-03,23
2018-04,24
2018-05,27
2018-06,54
2018-07,26
2018-08,21
2018-09,17
2018-10,37
2018-11,42
2018-12,32
2019-01,42
2019-02,26
2019-03,24
2019-04,27
2019-05,24
2019-06,30
2019-07,33
2019-08,22
2019-09,16
2019-10,23
2019-11,19
2019-12,18
2020-01,21
2020-02,19
2020-03,17
2020-04,22
2020-05,17
2020-06,18
2020-07,16
2020-08,17
2020-09,17
2020-10,20
2020-11,17
2020-12,12
2021-01,17
2021-02,18
2021-03,25
2021-04,17
2021-05,12
2021-06,11
2021-07,9
2021-08,14
2021-09,17
2021-10,17
2021-11,18
2021-12,12
2022-01,14
2022-02,15
2022-03,14
2022-04,21
2022-05,20
2022-06,15
2022-07,11
2022-08,12
2022-09,29
2022-10,23
2022-11,19
2022-12,19
2023-01,20
2023-02,17
2023-03,18
2023-04,15
2023-05,23
2023-06,16
2023-07,10
2023-08,12
2023-09,16
2023-10,18
2023-11,17
2023-12,20
2024-01,25
2024-02,32
2024-03,34
2024-04,23
2024-05,20
2024-06,17
2024-07,22
2024-08,27
2024-09,53
2024-10,38
2024-11,51
2024-12,25
2025-01,62
2025-02,66
2025-03,34
2025-04,39
2025-05,36
