Categoria: Tutte le categorie

Mese,immigrants: (Pennsylvania)
2004-01,36
2004-02,36
2004-03,42
2004-04,28
2004-05,44
2004-06,24
2004-07,14
2004-08,18
2004-09,29
2004-10,50
2004-11,38
2004-12,42
2005-01,23
2005-02,34
2005-03,34
2005-04,50
2005-05,39
2005-06,18
2005-07,18
2005-08,16
2005-09,28
2005-10,45
2005-11,36
2005-12,29
2006-01,25
2006-02,33
2006-03,36
2006-04,70
2006-05,74
2006-06,26
2006-07,18
2006-08,15
2006-09,40
2006-10,49
2006-11,47
2006-12,29
2007-01,30
2007-02,36
2007-03,37
2007-04,39
2007-05,37
2007-06,26
2007-07,17
2007-08,14
2007-09,34
2007-10,45
2007-11,42
2007-12,29
2008-01,30
2008-02,35
2008-03,33
2008-04,39
2008-05,31
2008-06,15
2008-07,15
2008-08,12
2008-09,30
2008-10,39
2008-11,37
2008-12,27
2009-01,26
2009-02,35
2009-03,35
2009-04,37
2009-05,24
2009-06,20
2009-07,14
2009-08,13
2009-09,33
2009-10,39
2009-11,36
2009-12,26
2010-01,27
2010-02,28
2010-03,37
2010-04,41
2010-05,38
2010-06,24
2010-07,22
2010-08,15
2010-09,31
2010-10,34
2010-11,28
2010-12,30
2011-01,19
2011-02,24
2011-03,26
2011-04,23
2011-05,22
2011-06,16
2011-07,11
2011-08,12
2011-09,20
2011-10,29
2011-11,23
2011-12,20
2012-01,18
2012-02,23
2012-03,23
2012-04,23
2012-05,19
2012-06,17
2012-07,10
2012-08,11
2012-09,21
2012-10,24
2012-11,26
2012-12,19
2013-01,21
2013-02,23
2013-03,20
2013-04,25
2013-05,22
2013-06,13
2013-07,10
2013-08,9
2013-09,20
2013-10,29
2013-11,24
2013-12,20
2014-01,18
2014-02,20
2014-03,22
2014-04,22
2014-05,19
2014-06,18
2014-07,26
2014-08,14
2014-09,22
2014-10,28
2014-11,33
2014-12,19
2015-01,19
2015-02,26
2015-03,24
2015-04,22
2015-05,19
2015-06,14
2015-07,20
2015-08,18
2015-09,38
2015-10,33
2015-11,38
2015-12,30
2016-01,23
2016-02,30
2016-03,35
2016-04,29
2016-05,26
2016-06,22
2016-07,20
2016-08,18
2016-09,33
2016-10,39
2016-11,58
2016-12,29
2017-01,57
2017-02,93
2017-03,54
2017-04,33
2017-05,28
2017-06,16
2017-07,19
2017-08,17
2017-09,33
2017-10,31
2017-11,27
2017-12,22
2018-01,41
2018-02,34
2018-03,28
2018-04,32
2018-05,32
2018-06,63
2018-07,28
2018-08,21
2018-09,26
2018-10,50
2018-11,53
2018-12,35
2019-01,55
2019-02,36
2019-03,31
2019-04,35
2019-05,26
2019-06,29
2019-07,35
2019-08,25
2019-09,28
2019-10,30
2019-11,25
2019-12,23
2020-01,21
2020-02,27
2020-03,20
2020-04,26
2020-05,21
2020-06,16
2020-07,16
2020-08,16
2020-09,26
2020-10,29
2020-11,20
2020-12,17
2021-01,23
2021-02,23
2021-03,37
2021-04,28
2021-05,19
2021-06,13
2021-07,14
2021-08,17
2021-09,27
2021-10,27
2021-11,27
2021-12,18
2022-01,21
2022-02,22
2022-03,21
2022-04,30
2022-05,24
2022-06,16
2022-07,15
2022-08,16
2022-09,46
2022-10,31
2022-11,28
2022-12,27
2023-01,27
2023-02,26
2023-03,25
2023-04,21
2023-05,34
2023-06,17
2023-07,14
2023-08,15
2023-09,33
2023-10,35
2023-11,28
2023-12,31
2024-01,43
2024-02,49
2024-03,51
2024-04,36
2024-05,27
2024-06,24
2024-07,32
2024-08,42
2024-09,100
2024-10,81
2024-11,78
2024-12,34
2025-01,81
2025-02,75
2025-03,50
2025-04,54
2025-05,43
