Categoria: Tutte le categorie

Mese,immigrants: (Rhode Island)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,90
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,61
2006-03,0
2006-04,59
2006-05,94
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,60
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,64
2007-04,60
2007-05,74
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,61
2007-12,44
2008-01,40
2008-02,72
2008-03,47
2008-04,79
2008-05,68
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,32
2008-11,49
2008-12,26
2009-01,44
2009-02,0
2009-03,43
2009-04,36
2009-05,43
2009-06,0
2009-07,0
2009-08,0
2009-09,27
2009-10,35
2009-11,48
2009-12,39
2010-01,0
2010-02,0
2010-03,34
2010-04,61
2010-05,38
2010-06,28
2010-07,0
2010-08,29
2010-09,28
2010-10,39
2010-11,33
2010-12,31
2011-01,31
2011-02,29
2011-03,38
2011-04,34
2011-05,29
2011-06,22
2011-07,21
2011-08,0
2011-09,24
2011-10,30
2011-11,43
2011-12,23
2012-01,27
2012-02,24
2012-03,26
2012-04,21
2012-05,23
2012-06,38
2012-07,16
2012-08,0
2012-09,16
2012-10,20
2012-11,31
2012-12,27
2013-01,15
2013-02,24
2013-03,26
2013-04,28
2013-05,24
2013-06,14
2013-07,19
2013-08,13
2013-09,18
2013-10,32
2013-11,32
2013-12,31
2014-01,26
2014-02,31
2014-03,27
2014-04,20
2014-05,15
2014-06,30
2014-07,29
2014-08,14
2014-09,20
2014-10,30
2014-11,30
2014-12,22
2015-01,12
2015-02,14
2015-03,24
2015-04,28
2015-05,18
2015-06,20
2015-07,26
2015-08,13
2015-09,35
2015-10,28
2015-11,43
2015-12,36
2016-01,32
2016-02,38
2016-03,53
2016-04,52
2016-05,30
2016-06,24
2016-07,19
2016-08,24
2016-09,29
2016-10,37
2016-11,76
2016-12,35
2017-01,63
2017-02,100
2017-03,48
2017-04,39
2017-05,42
2017-06,17
2017-07,18
2017-08,19
2017-09,26
2017-10,33
2017-11,42
2017-12,33
2018-01,52
2018-02,54
2018-03,29
2018-04,27
2018-05,39
2018-06,71
2018-07,37
2018-08,18
2018-09,30
2018-10,58
2018-11,57
2018-12,42
2019-01,53
2019-02,44
2019-03,31
2019-04,44
2019-05,41
2019-06,28
2019-07,34
2019-08,34
2019-09,29
2019-10,35
2019-11,28
2019-12,31
2020-01,28
2020-02,30
2020-03,29
2020-04,31
2020-05,25
2020-06,24
2020-07,19
2020-08,14
2020-09,19
2020-10,25
2020-11,26
2020-12,24
2021-01,20
2021-02,17
2021-03,44
2021-04,29
2021-05,25
2021-06,22
2021-07,17
2021-08,20
2021-09,29
2021-10,40
2021-11,29
2021-12,17
2022-01,14
2022-02,19
2022-03,26
2022-04,33
2022-05,31
2022-06,28
2022-07,17
2022-08,16
2022-09,61
2022-10,37
2022-11,30
2022-12,31
2023-01,33
2023-02,21
2023-03,28
2023-04,28
2023-05,52
2023-06,24
2023-07,26
2023-08,17
2023-09,34
2023-10,45
2023-11,32
2023-12,42
2024-01,60
2024-02,55
2024-03,61
2024-04,41
2024-05,32
2024-06,30
2024-07,33
2024-08,45
2024-09,87
2024-10,81
2024-11,88
2024-12,45
2025-01,94
2025-02,79
2025-03,60
2025-04,54
2025-05,50
