Categoria: Tutte le categorie

Mese,immigrants: (Carolina del Sud)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,90
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,78
2005-12,51
2006-01,0
2006-02,0
2006-03,44
2006-04,51
2006-05,39
2006-06,0
2006-07,0
2006-08,35
2006-09,43
2006-10,35
2006-11,77
2006-12,44
2007-01,33
2007-02,40
2007-03,34
2007-04,55
2007-05,31
2007-06,32
2007-07,0
2007-08,0
2007-09,29
2007-10,33
2007-11,87
2007-12,44
2008-01,32
2008-02,39
2008-03,45
2008-04,62
2008-05,28
2008-06,18
2008-07,23
2008-08,0
2008-09,25
2008-10,38
2008-11,61
2008-12,47
2009-01,15
2009-02,40
2009-03,36
2009-04,30
2009-05,27
2009-06,20
2009-07,0
2009-08,17
2009-09,27
2009-10,47
2009-11,63
2009-12,38
2010-01,28
2010-02,25
2010-03,44
2010-04,44
2010-05,32
2010-06,18
2010-07,28
2010-08,18
2010-09,40
2010-10,41
2010-11,56
2010-12,44
2011-01,20
2011-02,28
2011-03,26
2011-04,25
2011-05,22
2011-06,10
2011-07,14
2011-08,17
2011-09,26
2011-10,29
2011-11,38
2011-12,23
2012-01,25
2012-02,24
2012-03,24
2012-04,24
2012-05,15
2012-06,13
2012-07,11
2012-08,15
2012-09,24
2012-10,30
2012-11,41
2012-12,28
2013-01,23
2013-02,30
2013-03,31
2013-04,26
2013-05,20
2013-06,14
2013-07,11
2013-08,8
2013-09,25
2013-10,35
2013-11,44
2013-12,33
2014-01,19
2014-02,24
2014-03,27
2014-04,23
2014-05,18
2014-06,15
2014-07,27
2014-08,15
2014-09,24
2014-10,38
2014-11,47
2014-12,39
2015-01,26
2015-02,29
2015-03,27
2015-04,28
2015-05,20
2015-06,11
2015-07,19
2015-08,17
2015-09,30
2015-10,39
2015-11,60
2015-12,48
2016-01,35
2016-02,41
2016-03,42
2016-04,30
2016-05,28
2016-06,19
2016-07,19
2016-08,16
2016-09,38
2016-10,42
2016-11,69
2016-12,39
2017-01,62
2017-02,100
2017-03,54
2017-04,29
2017-05,23
2017-06,16
2017-07,18
2017-08,15
2017-09,32
2017-10,38
2017-11,47
2017-12,42
2018-01,42
2018-02,40
2018-03,37
2018-04,36
2018-05,31
2018-06,64
2018-07,27
2018-08,21
2018-09,20
2018-10,61
2018-11,67
2018-12,55
2019-01,61
2019-02,46
2019-03,43
2019-04,35
2019-05,31
2019-06,29
2019-07,37
2019-08,25
2019-09,24
2019-10,37
2019-11,37
2019-12,33
2020-01,30
2020-02,32
2020-03,29
2020-04,28
2020-05,20
2020-06,16
2020-07,16
2020-08,18
2020-09,28
2020-10,32
2020-11,29
2020-12,19
2021-01,28
2021-02,27
2021-03,43
2021-04,30
2021-05,20
2021-06,14
2021-07,15
2021-08,20
2021-09,33
2021-10,34
2021-11,31
2021-12,16
2022-01,21
2022-02,22
2022-03,28
2022-04,39
2022-05,26
2022-06,17
2022-07,15
2022-08,19
2022-09,53
2022-10,38
2022-11,30
2022-12,26
2023-01,29
2023-02,33
2023-03,36
2023-04,30
2023-05,40
2023-06,19
2023-07,15
2023-08,22
2023-09,39
2023-10,48
2023-11,36
2023-12,36
2024-01,46
2024-02,65
2024-03,61
2024-04,40
2024-05,33
2024-06,29
2024-07,29
2024-08,49
2024-09,99
2024-10,78
2024-11,68
2024-12,41
2025-01,89
2025-02,97
2025-03,64
2025-04,60
2025-05,54
