Categoria: Tutte le categorie

Mese,immigrants: (Tennessee)
2004-01,0
2004-02,0
2004-03,84
2004-04,45
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,64
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,43
2005-10,33
2005-11,36
2005-12,23
2006-01,38
2006-02,35
2006-03,31
2006-04,56
2006-05,69
2006-06,34
2006-07,0
2006-08,20
2006-09,35
2006-10,42
2006-11,40
2006-12,39
2007-01,23
2007-02,46
2007-03,28
2007-04,36
2007-05,26
2007-06,0
2007-07,21
2007-08,19
2007-09,34
2007-10,45
2007-11,39
2007-12,30
2008-01,25
2008-02,42
2008-03,36
2008-04,41
2008-05,16
2008-06,12
2008-07,13
2008-08,19
2008-09,28
2008-10,21
2008-11,31
2008-12,19
2009-01,18
2009-02,39
2009-03,33
2009-04,43
2009-05,21
2009-06,13
2009-07,13
2009-08,24
2009-09,39
2009-10,33
2009-11,37
2009-12,20
2010-01,22
2010-02,21
2010-03,29
2010-04,43
2010-05,30
2010-06,23
2010-07,24
2010-08,25
2010-09,27
2010-10,26
2010-11,32
2010-12,21
2011-01,19
2011-02,24
2011-03,15
2011-04,17
2011-05,14
2011-06,15
2011-07,14
2011-08,15
2011-09,25
2011-10,25
2011-11,25
2011-12,17
2012-01,19
2012-02,21
2012-03,20
2012-04,22
2012-05,12
2012-06,16
2012-07,16
2012-08,18
2012-09,26
2012-10,25
2012-11,26
2012-12,15
2013-01,18
2013-02,25
2013-03,17
2013-04,19
2013-05,15
2013-06,10
2013-07,8
2013-08,10
2013-09,22
2013-10,26
2013-11,21
2013-12,16
2014-01,16
2014-02,19
2014-03,14
2014-04,24
2014-05,16
2014-06,12
2014-07,31
2014-08,25
2014-09,30
2014-10,24
2014-11,32
2014-12,21
2015-01,21
2015-02,23
2015-03,20
2015-04,22
2015-05,14
2015-06,12
2015-07,23
2015-08,28
2015-09,38
2015-10,27
2015-11,34
2015-12,24
2016-01,23
2016-02,31
2016-03,31
2016-04,27
2016-05,17
2016-06,18
2016-07,17
2016-08,25
2016-09,33
2016-10,30
2016-11,48
2016-12,26
2017-01,52
2017-02,100
2017-03,48
2017-04,30
2017-05,23
2017-06,14
2017-07,16
2017-08,21
2017-09,34
2017-10,22
2017-11,25
2017-12,20
2018-01,40
2018-02,35
2018-03,23
2018-04,33
2018-05,27
2018-06,60
2018-07,27
2018-08,25
2018-09,28
2018-10,49
2018-11,48
2018-12,33
2019-01,53
2019-02,41
2019-03,26
2019-04,29
2019-05,19
2019-06,29
2019-07,32
2019-08,29
2019-09,29
2019-10,22
2019-11,21
2019-12,25
2020-01,24
2020-02,26
2020-03,17
2020-04,23
2020-05,13
2020-06,15
2020-07,16
2020-08,23
2020-09,38
2020-10,28
2020-11,24
2020-12,16
2021-01,26
2021-02,28
2021-03,32
2021-04,26
2021-05,18
2021-06,12
2021-07,11
2021-08,21
2021-09,37
2021-10,29
2021-11,26
2021-12,14
2022-01,20
2022-02,25
2022-03,22
2022-04,31
2022-05,20
2022-06,16
2022-07,15
2022-08,26
2022-09,50
2022-10,25
2022-11,21
2022-12,25
2023-01,25
2023-02,29
2023-03,24
2023-04,22
2023-05,33
2023-06,17
2023-07,12
2023-08,22
2023-09,37
2023-10,26
2023-11,26
2023-12,33
2024-01,42
2024-02,64
2024-03,50
2024-04,36
2024-05,22
2024-06,25
2024-07,30
2024-08,45
2024-09,93
2024-10,67
2024-11,67
2024-12,33
2025-01,90
2025-02,85
2025-03,49
2025-04,56
2025-05,55
