Categoria: Tutte le categorie

Mese,immigrants: (Texas)
2004-01,30
2004-02,35
2004-03,18
2004-04,24
2004-05,25
2004-06,16
2004-07,12
2004-08,13
2004-09,24
2004-10,32
2004-11,29
2004-12,21
2005-01,28
2005-02,31
2005-03,22
2005-04,30
2005-05,25
2005-06,12
2005-07,12
2005-08,16
2005-09,27
2005-10,24
2005-11,29
2005-12,19
2006-01,20
2006-02,31
2006-03,36
2006-04,73
2006-05,54
2006-06,21
2006-07,18
2006-08,17
2006-09,29
2006-10,30
2006-11,34
2006-12,23
2007-01,21
2007-02,31
2007-03,25
2007-04,25
2007-05,25
2007-06,20
2007-07,17
2007-08,15
2007-09,23
2007-10,34
2007-11,34
2007-12,25
2008-01,21
2008-02,31
2008-03,24
2008-04,32
2008-05,21
2008-06,16
2008-07,14
2008-08,12
2008-09,18
2008-10,21
2008-11,24
2008-12,16
2009-01,16
2009-02,26
2009-03,23
2009-04,29
2009-05,21
2009-06,14
2009-07,15
2009-08,15
2009-09,26
2009-10,26
2009-11,28
2009-12,19
2010-01,18
2010-02,25
2010-03,24
2010-04,31
2010-05,35
2010-06,20
2010-07,18
2010-08,14
2010-09,22
2010-10,24
2010-11,24
2010-12,17
2011-01,16
2011-02,18
2011-03,18
2011-04,17
2011-05,16
2011-06,13
2011-07,11
2011-08,12
2011-09,18
2011-10,21
2011-11,19
2011-12,13
2012-01,15
2012-02,20
2012-03,13
2012-04,18
2012-05,15
2012-06,16
2012-07,12
2012-08,11
2012-09,18
2012-10,18
2012-11,19
2012-12,14
2013-01,16
2013-02,22
2013-03,16
2013-04,20
2013-05,17
2013-06,12
2013-07,10
2013-08,8
2013-09,18
2013-10,22
2013-11,19
2013-12,16
2014-01,13
2014-02,22
2014-03,16
2014-04,19
2014-05,17
2014-06,17
2014-07,33
2014-08,13
2014-09,23
2014-10,24
2014-11,31
2014-12,18
2015-01,18
2015-02,23
2015-03,19
2015-04,21
2015-05,18
2015-06,12
2015-07,17
2015-08,16
2015-09,32
2015-10,28
2015-11,27
2015-12,21
2016-01,21
2016-02,28
2016-03,22
2016-04,23
2016-05,19
2016-06,18
2016-07,15
2016-08,14
2016-09,31
2016-10,30
2016-11,45
2016-12,20
2017-01,38
2017-02,100
2017-03,36
2017-04,28
2017-05,23
2017-06,15
2017-07,19
2017-08,16
2017-09,29
2017-10,25
2017-11,22
2017-12,18
2018-01,30
2018-02,32
2018-03,22
2018-04,29
2018-05,26
2018-06,45
2018-07,23
2018-08,20
2018-09,29
2018-10,49
2018-11,46
2018-12,30
2019-01,37
2019-02,33
2019-03,24
2019-04,32
2019-05,24
2019-06,28
2019-07,29
2019-08,23
2019-09,29
2019-10,25
2019-11,22
2019-12,19
2020-01,20
2020-02,28
2020-03,19
2020-04,27
2020-05,20
2020-06,17
2020-07,16
2020-08,17
2020-09,32
2020-10,28
2020-11,22
2020-12,17
2021-01,23
2021-02,30
2021-03,35
2021-04,27
2021-05,19
2021-06,14
2021-07,13
2021-08,19
2021-09,34
2021-10,25
2021-11,23
2021-12,16
2022-01,20
2022-02,27
2022-03,23
2022-04,36
2022-05,25
2022-06,21
2022-07,18
2022-08,20
2022-09,45
2022-10,29
2022-11,26
2022-12,27
2023-01,26
2023-02,35
2023-03,26
2023-04,27
2023-05,36
2023-06,19
2023-07,16
2023-08,21
2023-09,40
2023-10,34
2023-11,30
2023-12,31
2024-01,38
2024-02,50
2024-03,38
2024-04,34
2024-05,24
2024-06,23
2024-07,23
2024-08,35
2024-09,68
2024-10,45
2024-11,58
2024-12,31
2025-01,74
2025-02,81
2025-03,39
2025-04,44
2025-05,37
