Categoria: Tutte le categorie

Mese,immigrants: (Utah)
2004-01,0
2004-02,0
2004-03,0
2004-04,83
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,60
2004-11,62
2004-12,0
2005-01,51
2005-02,96
2005-03,0
2005-04,68
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,43
2005-11,40
2005-12,0
2006-01,0
2006-02,0
2006-03,48
2006-04,100
2006-05,51
2006-06,0
2006-07,53
2006-08,0
2006-09,39
2006-10,33
2006-11,44
2006-12,27
2007-01,30
2007-02,39
2007-03,24
2007-04,34
2007-05,25
2007-06,19
2007-07,27
2007-08,17
2007-09,24
2007-10,37
2007-11,43
2007-12,29
2008-01,20
2008-02,38
2008-03,27
2008-04,36
2008-05,38
2008-06,21
2008-07,18
2008-08,0
2008-09,33
2008-10,24
2008-11,35
2008-12,18
2009-01,16
2009-02,17
2009-03,42
2009-04,38
2009-05,17
2009-06,18
2009-07,17
2009-08,0
2009-09,12
2009-10,31
2009-11,32
2009-12,24
2010-01,21
2010-02,38
2010-03,35
2010-04,41
2010-05,33
2010-06,15
2010-07,50
2010-08,17
2010-09,32
2010-10,31
2010-11,40
2010-12,40
2011-01,26
2011-02,24
2011-03,24
2011-04,22
2011-05,19
2011-06,22
2011-07,12
2011-08,12
2011-09,23
2011-10,24
2011-11,26
2011-12,33
2012-01,22
2012-02,27
2012-03,26
2012-04,27
2012-05,18
2012-06,22
2012-07,12
2012-08,10
2012-09,21
2012-10,17
2012-11,28
2012-12,25
2013-01,17
2013-02,29
2013-03,25
2013-04,22
2013-05,18
2013-06,12
2013-07,9
2013-08,9
2013-09,16
2013-10,25
2013-11,22
2013-12,27
2014-01,17
2014-02,22
2014-03,24
2014-04,22
2014-05,16
2014-06,12
2014-07,24
2014-08,12
2014-09,23
2014-10,29
2014-11,27
2014-12,23
2015-01,21
2015-02,26
2015-03,18
2015-04,24
2015-05,15
2015-06,11
2015-07,17
2015-08,15
2015-09,30
2015-10,32
2015-11,37
2015-12,26
2016-01,20
2016-02,24
2016-03,29
2016-04,29
2016-05,21
2016-06,16
2016-07,16
2016-08,15
2016-09,20
2016-10,23
2016-11,46
2016-12,24
2017-01,44
2017-02,80
2017-03,36
2017-04,29
2017-05,21
2017-06,16
2017-07,16
2017-08,15
2017-09,30
2017-10,27
2017-11,27
2017-12,20
2018-01,35
2018-02,29
2018-03,31
2018-04,26
2018-05,26
2018-06,44
2018-07,23
2018-08,18
2018-09,23
2018-10,46
2018-11,42
2018-12,32
2019-01,46
2019-02,31
2019-03,28
2019-04,26
2019-05,22
2019-06,24
2019-07,30
2019-08,21
2019-09,20
2019-10,24
2019-11,20
2019-12,22
2020-01,20
2020-02,22
2020-03,23
2020-04,28
2020-05,19
2020-06,15
2020-07,19
2020-08,19
2020-09,25
2020-10,28
2020-11,21
2020-12,17
2021-01,21
2021-02,23
2021-03,28
2021-04,19
2021-05,16
2021-06,12
2021-07,9
2021-08,14
2021-09,27
2021-10,29
2021-11,26
2021-12,17
2022-01,19
2022-02,24
2022-03,22
2022-04,27
2022-05,23
2022-06,16
2022-07,13
2022-08,16
2022-09,39
2022-10,33
2022-11,25
2022-12,23
2023-01,22
2023-02,26
2023-03,25
2023-04,26
2023-05,33
2023-06,18
2023-07,14
2023-08,14
2023-09,31
2023-10,35
2023-11,29
2023-12,26
2024-01,38
2024-02,45
2024-03,45
2024-04,33
2024-05,22
2024-06,24
2024-07,28
2024-08,35
2024-09,76
2024-10,68
2024-11,71
2024-12,30
2025-01,79
2025-02,83
2025-03,46
2025-04,51
2025-05,41
