Categoria: Tutte le categorie

Mese,immigrants: (Virginia)
2004-01,36
2004-02,28
2004-03,37
2004-04,35
2004-05,28
2004-06,17
2004-07,20
2004-08,17
2004-09,21
2004-10,36
2004-11,46
2004-12,26
2005-01,28
2005-02,30
2005-03,26
2005-04,33
2005-05,13
2005-06,15
2005-07,17
2005-08,16
2005-09,23
2005-10,36
2005-11,43
2005-12,20
2006-01,34
2006-02,31
2006-03,35
2006-04,50
2006-05,61
2006-06,22
2006-07,23
2006-08,21
2006-09,18
2006-10,39
2006-11,34
2006-12,22
2007-01,21
2007-02,29
2007-03,28
2007-04,27
2007-05,32
2007-06,25
2007-07,20
2007-08,13
2007-09,27
2007-10,34
2007-11,33
2007-12,26
2008-01,23
2008-02,25
2008-03,23
2008-04,26
2008-05,20
2008-06,11
2008-07,12
2008-08,9
2008-09,14
2008-10,18
2008-11,18
2008-12,11
2009-01,11
2009-02,15
2009-03,14
2009-04,15
2009-05,11
2009-06,9
2009-07,7
2009-08,9
2009-09,12
2009-10,14
2009-11,14
2009-12,10
2010-01,9
2010-02,10
2010-03,12
2010-04,14
2010-05,14
2010-06,8
2010-07,8
2010-08,7
2010-09,9
2010-10,10
2010-11,11
2010-12,8
2011-01,18
2011-02,23
2011-03,20
2011-04,20
2011-05,17
2011-06,13
2011-07,13
2011-08,12
2011-09,17
2011-10,23
2011-11,26
2011-12,18
2012-01,17
2012-02,20
2012-03,18
2012-04,20
2012-05,16
2012-06,19
2012-07,13
2012-08,13
2012-09,16
2012-10,20
2012-11,29
2012-12,18
2013-01,17
2013-02,22
2013-03,21
2013-04,22
2013-05,18
2013-06,15
2013-07,11
2013-08,9
2013-09,15
2013-10,22
2013-11,24
2013-12,17
2014-01,15
2014-02,20
2014-03,18
2014-04,15
2014-05,13
2014-06,15
2014-07,18
2014-08,8
2014-09,10
2014-10,15
2014-11,19
2014-12,11
2015-01,9
2015-02,10
2015-03,8
2015-04,10
2015-05,8
2015-06,7
2015-07,22
2015-08,19
2015-09,29
2015-10,29
2015-11,37
2015-12,28
2016-01,25
2016-02,28
2016-03,27
2016-04,25
2016-05,22
2016-06,22
2016-07,16
2016-08,16
2016-09,27
2016-10,30
2016-11,55
2016-12,28
2017-01,53
2017-02,100
2017-03,43
2017-04,28
2017-05,22
2017-06,19
2017-07,17
2017-08,16
2017-09,27
2017-10,26
2017-11,28
2017-12,21
2018-01,41
2018-02,36
2018-03,23
2018-04,27
2018-05,25
2018-06,54
2018-07,27
2018-08,20
2018-09,21
2018-10,45
2018-11,48
2018-12,37
2019-01,48
2019-02,38
2019-03,29
2019-04,28
2019-05,25
2019-06,26
2019-07,30
2019-08,23
2019-09,24
2019-10,31
2019-11,31
2019-12,26
2020-01,24
2020-02,32
2020-03,20
2020-04,22
2020-05,18
2020-06,15
2020-07,17
2020-08,15
2020-09,20
2020-10,24
2020-11,22
2020-12,19
2021-01,23
2021-02,25
2021-03,35
2021-04,23
2021-05,15
2021-06,12
2021-07,13
2021-08,15
2021-09,25
2021-10,27
2021-11,27
2021-12,18
2022-01,19
2022-02,22
2022-03,21
2022-04,26
2022-05,20
2022-06,14
2022-07,15
2022-08,15
2022-09,34
2022-10,28
2022-11,30
2022-12,23
2023-01,27
2023-02,27
2023-03,24
2023-04,19
2023-05,27
2023-06,16
2023-07,13
2023-08,14
2023-09,23
2023-10,30
2023-11,30
2023-12,26
2024-01,36
2024-02,42
2024-03,39
2024-04,25
2024-05,21
2024-06,22
2024-07,23
2024-08,29
2024-09,65
2024-10,57
2024-11,68
2024-12,28
2025-01,65
2025-02,72
2025-03,40
2025-04,40
2025-05,34
