Categoria: Tutte le categorie

Mese,immigrants: (Vermont)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,100
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,44
2006-05,45
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,40
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,32
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,38
2008-05,34
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,11
2010-01,0
2010-02,0
2010-03,14
2010-04,14
2010-05,10
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,10
2010-11,0
2010-12,0
2011-01,16
2011-02,15
2011-03,12
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,15
2011-09,0
2011-10,12
2011-11,17
2011-12,19
2012-01,14
2012-02,0
2012-03,12
2012-04,19
2012-05,12
2012-06,11
2012-07,0
2012-08,0
2012-09,11
2012-10,11
2012-11,23
2012-12,13
2013-01,0
2013-02,0
2013-03,21
2013-04,17
2013-05,19
2013-06,0
2013-07,0
2013-08,0
2013-09,9
2013-10,14
2013-11,15
2013-12,12
2014-01,14
2014-02,9
2014-03,16
2014-04,10
2014-05,0
2014-06,0
2014-07,11
2014-08,0
2014-09,14
2014-10,13
2014-11,19
2014-12,19
2015-01,15
2015-02,14
2015-03,10
2015-04,10
2015-05,16
2015-06,10
2015-07,11
2015-08,0
2015-09,19
2015-10,18
2015-11,32
2015-12,27
2016-01,15
2016-02,19
2016-03,29
2016-04,19
2016-05,19
2016-06,9
2016-07,0
2016-08,10
2016-09,18
2016-10,19
2016-11,29
2016-12,25
2017-01,44
2017-02,62
2017-03,34
2017-04,15
2017-05,18
2017-06,11
2017-07,14
2017-08,9
2017-09,17
2017-10,12
2017-11,17
2017-12,14
2018-01,19
2018-02,22
2018-03,21
2018-04,17
2018-05,20
2018-06,44
2018-07,15
2018-08,14
2018-09,12
2018-10,26
2018-11,32
2018-12,25
2019-01,30
2019-02,21
2019-03,12
2019-04,17
2019-05,24
2019-06,27
2019-07,20
2019-08,13
2019-09,11
2019-10,14
2019-11,14
2019-12,18
2020-01,13
2020-02,17
2020-03,10
2020-04,11
2020-05,9
2020-06,9
2020-07,0
2020-08,8
2020-09,15
2020-10,11
2020-11,10
2020-12,6
2021-01,7
2021-02,0
2021-03,17
2021-04,7
2021-05,12
2021-06,0
2021-07,11
2021-08,14
2021-09,12
2021-10,16
2021-11,10
2021-12,7
2022-01,7
2022-02,9
2022-03,8
2022-04,12
2022-05,11
2022-06,9
2022-07,9
2022-08,12
2022-09,24
2022-10,18
2022-11,18
2022-12,9
2023-01,14
2023-02,14
2023-03,14
2023-04,15
2023-05,18
2023-06,11
2023-07,6
2023-08,10
2023-09,18
2023-10,16
2023-11,15
2023-12,21
2024-01,21
2024-02,24
2024-03,21
2024-04,24
2024-05,14
2024-06,13
2024-07,10
2024-08,19
2024-09,49
2024-10,35
2024-11,40
2024-12,20
2025-01,41
2025-02,43
2025-03,28
2025-04,32
2025-05,30
