Categoria: Tutte le categorie

Mese,immigrants: (Washington)
2004-01,27
2004-02,34
2004-03,53
2004-04,30
2004-05,24
2004-06,31
2004-07,0
2004-08,13
2004-09,26
2004-10,43
2004-11,43
2004-12,29
2005-01,38
2005-02,37
2005-03,36
2005-04,33
2005-05,26
2005-06,15
2005-07,0
2005-08,11
2005-09,15
2005-10,31
2005-11,31
2005-12,23
2006-01,27
2006-02,20
2006-03,34
2006-04,49
2006-05,75
2006-06,28
2006-07,17
2006-08,12
2006-09,14
2006-10,31
2006-11,33
2006-12,24
2007-01,24
2007-02,28
2007-03,28
2007-04,26
2007-05,43
2007-06,25
2007-07,10
2007-08,11
2007-09,16
2007-10,28
2007-11,36
2007-12,23
2008-01,26
2008-02,21
2008-03,24
2008-04,21
2008-05,28
2008-06,16
2008-07,12
2008-08,14
2008-09,15
2008-10,23
2008-11,27
2008-12,15
2009-01,22
2009-02,28
2009-03,23
2009-04,22
2009-05,27
2009-06,21
2009-07,12
2009-08,10
2009-09,18
2009-10,24
2009-11,28
2009-12,20
2010-01,18
2010-02,20
2010-03,26
2010-04,28
2010-05,44
2010-06,23
2010-07,15
2010-08,13
2010-09,15
2010-10,22
2010-11,20
2010-12,22
2011-01,17
2011-02,19
2011-03,20
2011-04,17
2011-05,19
2011-06,14
2011-07,10
2011-08,9
2011-09,10
2011-10,14
2011-11,18
2011-12,13
2012-01,13
2012-02,17
2012-03,14
2012-04,17
2012-05,17
2012-06,16
2012-07,8
2012-08,8
2012-09,13
2012-10,16
2012-11,17
2012-12,12
2013-01,16
2013-02,16
2013-03,18
2013-04,16
2013-05,19
2013-06,15
2013-07,7
2013-08,7
2013-09,10
2013-10,18
2013-11,18
2013-12,14
2014-01,15
2014-02,17
2014-03,17
2014-04,16
2014-05,18
2014-06,15
2014-07,19
2014-08,10
2014-09,11
2014-10,18
2014-11,25
2014-12,17
2015-01,16
2015-02,19
2015-03,18
2015-04,14
2015-05,17
2015-06,15
2015-07,16
2015-08,12
2015-09,20
2015-10,22
2015-11,33
2015-12,21
2016-01,24
2016-02,25
2016-03,30
2016-04,20
2016-05,22
2016-06,20
2016-07,13
2016-08,13
2016-09,17
2016-10,25
2016-11,49
2016-12,20
2017-01,52
2017-02,100
2017-03,43
2017-04,26
2017-05,26
2017-06,19
2017-07,17
2017-08,13
2017-09,19
2017-10,23
2017-11,20
2017-12,17
2018-01,36
2018-02,27
2018-03,24
2018-04,25
2018-05,28
2018-06,57
2018-07,24
2018-08,19
2018-09,14
2018-10,35
2018-11,40
2018-12,29
2019-01,41
2019-02,27
2019-03,26
2019-04,25
2019-05,23
2019-06,27
2019-07,27
2019-08,21
2019-09,19
2019-10,23
2019-11,21
2019-12,18
2020-01,19
2020-02,21
2020-03,16
2020-04,22
2020-05,17
2020-06,16
2020-07,15
2020-08,17
2020-09,18
2020-10,23
2020-11,19
2020-12,13
2021-01,19
2021-02,20
2021-03,26
2021-04,18
2021-05,15
2021-06,13
2021-07,10
2021-08,13
2021-09,18
2021-10,21
2021-11,20
2021-12,13
2022-01,18
2022-02,19
2022-03,20
2022-04,26
2022-05,24
2022-06,16
2022-07,13
2022-08,13
2022-09,27
2022-10,23
2022-11,22
2022-12,21
2023-01,21
2023-02,23
2023-03,23
2023-04,19
2023-05,30
2023-06,21
2023-07,12
2023-08,12
2023-09,23
2023-10,27
2023-11,24
2023-12,26
2024-01,35
2024-02,39
2024-03,39
2024-04,27
2024-05,25
2024-06,23
2024-07,23
2024-08,26
2024-09,55
2024-10,48
2024-11,60
2024-12,29
2025-01,70
2025-02,70
2025-03,46
2025-04,45
2025-05,41
