Categoria: Tutte le categorie

Mese,immigrants: (Wisconsin)
2004-01,49
2004-02,28
2004-03,51
2004-04,0
2004-05,53
2004-06,40
2004-07,0
2004-08,0
2004-09,64
2004-10,35
2004-11,35
2004-12,44
2005-01,39
2005-02,54
2005-03,27
2005-04,45
2005-05,47
2005-06,0
2005-07,0
2005-08,0
2005-09,36
2005-10,36
2005-11,39
2005-12,47
2006-01,26
2006-02,28
2006-03,37
2006-04,71
2006-05,100
2006-06,12
2006-07,20
2006-08,21
2006-09,44
2006-10,45
2006-11,48
2006-12,42
2007-01,30
2007-02,30
2007-03,33
2007-04,35
2007-05,47
2007-06,18
2007-07,13
2007-08,14
2007-09,30
2007-10,48
2007-11,54
2007-12,37
2008-01,37
2008-02,33
2008-03,39
2008-04,41
2008-05,25
2008-06,18
2008-07,10
2008-08,9
2008-09,27
2008-10,34
2008-11,37
2008-12,41
2009-01,26
2009-02,28
2009-03,37
2009-04,35
2009-05,19
2009-06,18
2009-07,12
2009-08,15
2009-09,36
2009-10,30
2009-11,35
2009-12,37
2010-01,27
2010-02,40
2010-03,31
2010-04,35
2010-05,40
2010-06,22
2010-07,27
2010-08,17
2010-09,24
2010-10,41
2010-11,33
2010-12,32
2011-01,27
2011-02,28
2011-03,28
2011-04,25
2011-05,27
2011-06,15
2011-07,10
2011-08,11
2011-09,20
2011-10,32
2011-11,28
2011-12,25
2012-01,22
2012-02,25
2012-03,26
2012-04,24
2012-05,21
2012-06,16
2012-07,9
2012-08,8
2012-09,18
2012-10,25
2012-11,27
2012-12,20
2013-01,26
2013-02,24
2013-03,22
2013-04,23
2013-05,24
2013-06,12
2013-07,10
2013-08,8
2013-09,15
2013-10,25
2013-11,26
2013-12,21
2014-01,18
2014-02,25
2014-03,25
2014-04,24
2014-05,23
2014-06,15
2014-07,21
2014-08,11
2014-09,25
2014-10,24
2014-11,35
2014-12,22
2015-01,20
2015-02,28
2015-03,26
2015-04,27
2015-05,24
2015-06,11
2015-07,16
2015-08,13
2015-09,34
2015-10,36
2015-11,40
2015-12,33
2016-01,29
2016-02,42
2016-03,33
2016-04,32
2016-05,30
2016-06,15
2016-07,15
2016-08,13
2016-09,28
2016-10,37
2016-11,53
2016-12,31
2017-01,47
2017-02,88
2017-03,44
2017-04,32
2017-05,29
2017-06,14
2017-07,15
2017-08,12
2017-09,28
2017-10,34
2017-11,31
2017-12,23
2018-01,39
2018-02,36
2018-03,25
2018-04,33
2018-05,32
2018-06,48
2018-07,25
2018-08,18
2018-09,25
2018-10,47
2018-11,49
2018-12,35
2019-01,49
2019-02,36
2019-03,41
2019-04,39
2019-05,31
2019-06,25
2019-07,30
2019-08,20
2019-09,22
2019-10,30
2019-11,27
2019-12,24
2020-01,23
2020-02,31
2020-03,21
2020-04,25
2020-05,18
2020-06,14
2020-07,14
2020-08,13
2020-09,25
2020-10,23
2020-11,18
2020-12,14
2021-01,18
2021-02,20
2021-03,33
2021-04,19
2021-05,13
2021-06,9
2021-07,12
2021-08,15
2021-09,22
2021-10,23
2021-11,23
2021-12,16
2022-01,15
2022-02,16
2022-03,19
2022-04,29
2022-05,22
2022-06,14
2022-07,12
2022-08,13
2022-09,37
2022-10,29
2022-11,29
2022-12,25
2023-01,20
2023-02,24
2023-03,21
2023-04,21
2023-05,30
2023-06,16
2023-07,13
2023-08,12
2023-09,27
2023-10,35
2023-11,30
2023-12,33
2024-01,41
2024-02,49
2024-03,42
2024-04,34
2024-05,24
2024-06,23
2024-07,29
2024-08,39
2024-09,96
2024-10,77
2024-11,71
2024-12,36
2025-01,77
2025-02,79
2025-03,46
2025-04,56
2025-05,40
